dataset,model,step,tau,bor,metric,estimate,ci_low,ci_high,n_dialogues,bootstrap_n,bootstrap_seed
dialseg711,csm,0,0.0,2.013222331047992,wf1,0.6600001569719172,0.6505999229894401,0.6701652070554786,711,1000,42
dialseg711,csm,0,0.0,2.013222331047992,wf1_1to1,0.6413426548447645,0.6322383102129938,0.6508574098974942,711,1000,42
dialseg711,csm,0,0.0,2.013222331047992,exact_f1,0.41396827114126683,0.40009396916569917,0.42836727150018294,711,1000,42
dialseg711,csm,0,0.0,2.013222331047992,coverage,0.6865061684681938,0.6779585170065128,0.6954288235498679,711,1000,42
dialseg711,csm,1,5.960464477539063e-08,1.7933398628795298,wf1,0.6718946710447461,0.6618095782144028,0.6827127992937672,711,1000,42
dialseg711,csm,1,5.960464477539063e-08,1.7933398628795298,wf1_1to1,0.6663307625332942,0.6567040324107833,0.6769596530988936,711,1000,42
dialseg711,csm,1,5.960464477539063e-08,1.7933398628795298,exact_f1,0.43684286490193663,0.4222366832651642,0.45220474282710565,711,1000,42
dialseg711,csm,1,5.960464477539063e-08,1.7933398628795298,coverage,0.7258930376546411,0.7180095598845598,0.7343031982668058,711,1000,42
dialseg711,csm,2,1.7881393432617188e-07,1.7766895200783546,wf1,0.6727623220584492,0.662571338363211,0.6835914164234449,711,1000,42
dialseg711,csm,2,1.7881393432617188e-07,1.7766895200783546,wf1_1to1,0.6676068422903866,0.6574106263715968,0.6780101393761732,711,1000,42
dialseg711,csm,2,1.7881393432617188e-07,1.7766895200783546,exact_f1,0.4381803381803382,0.4229765116895919,0.45343506899414077,711,1000,42
dialseg711,csm,2,1.7881393432617188e-07,1.7766895200783546,coverage,0.7291439768233017,0.721059155575242,0.737437984444841,711,1000,42
dialseg711,csm,3,2.384185791015625e-07,1.7703232125367288,wf1,0.6725492205795249,0.6624412612417847,0.6832692375851637,711,1000,42
dialseg711,csm,3,2.384185791015625e-07,1.7703232125367288,wf1_1to1,0.6680839866493874,0.6581110606849003,0.6787503297999078,711,1000,42
dialseg711,csm,3,2.384185791015625e-07,1.7703232125367288,exact_f1,0.4386262276557636,0.4235526949609228,0.45378873880456155,711,1000,42
dialseg711,csm,3,2.384185791015625e-07,1.7703232125367288,coverage,0.7303633358749393,0.7222754592210026,0.7385673879615071,711,1000,42
dialseg711,csm,4,2.980232238769531e-07,1.7624877571008815,wf1,0.6724723471071373,0.6621500141967538,0.6832578972034365,711,1000,42
dialseg711,csm,4,2.980232238769531e-07,1.7624877571008815,wf1_1to1,0.6687182172414239,0.6586207157040489,0.6792075312170248,711,1000,42
dialseg711,csm,4,2.980232238769531e-07,1.7624877571008815,exact_f1,0.4390018951200386,0.4240136248733295,0.45415947000335183,711,1000,42
dialseg711,csm,4,2.980232238769531e-07,1.7624877571008815,coverage,0.7316129730950405,0.7235871633445472,0.739896231776506,711,1000,42
dialseg711,csm,5,4.172325134277344e-07,1.7526934378060726,wf1,0.6726081231922804,0.6624835071999993,0.6835658224490938,711,1000,42
dialseg711,csm,5,4.172325134277344e-07,1.7526934378060726,wf1_1to1,0.6686344988032751,0.6582743879421094,0.6796172443746282,711,1000,42
dialseg711,csm,5,4.172325134277344e-07,1.7526934378060726,exact_f1,0.4396486073701264,0.4247521198523308,0.45500578671992176,711,1000,42
dialseg711,csm,5,4.172325134277344e-07,1.7526934378060726,coverage,0.7333714788883564,0.7253540639847337,0.7414614045949753,711,1000,42
dialseg711,csm,6,4.76837158203125e-07,1.7463271302644465,wf1,0.6733476173694828,0.6633378724915546,0.6841795799744844,711,1000,42
dialseg711,csm,6,4.76837158203125e-07,1.7463271302644465,wf1_1to1,0.6698545555085639,0.6596012311254927,0.6805015973634116,711,1000,42
dialseg711,csm,6,4.76837158203125e-07,1.7463271302644465,exact_f1,0.44090884892572657,0.42582375137754885,0.4559381458906775,711,1000,42
dialseg711,csm,6,4.76837158203125e-07,1.7463271302644465,coverage,0.7343177763008987,0.7262550760645433,0.7424930116326476,711,1000,42
dialseg711,csm,7,5.960464477539062e-07,1.7375122428991185,wf1,0.6734660729509631,0.6632794455744678,0.6843525546578166,711,1000,42
dialseg711,csm,7,5.960464477539062e-07,1.7375122428991185,wf1_1to1,0.6702105364552622,0.6599586224058799,0.6810714689670386,711,1000,42
dialseg711,csm,7,5.960464477539062e-07,1.7375122428991185,exact_f1,0.4411980580756953,0.42610981786614693,0.4562778889730366,711,1000,42
dialseg711,csm,7,5.960464477539062e-07,1.7375122428991185,coverage,0.7357472686322898,0.7274834158213642,0.7437464163532203,711,1000,42
dialseg711,csm,8,7.152557373046875e-07,1.7247796278158667,wf1,0.6750232516090288,0.6650322567851145,0.6861015176873774,711,1000,42
dialseg711,csm,8,7.152557373046875e-07,1.7247796278158667,wf1_1to1,0.6722488013627254,0.6617333951405681,0.6834709738612693,711,1000,42
dialseg711,csm,8,7.152557373046875e-07,1.7247796278158667,exact_f1,0.442481740793977,0.42749258360017856,0.457954085881301,711,1000,42
dialseg711,csm,8,7.152557373046875e-07,1.7247796278158667,coverage,0.7384790012690857,0.7303009923493837,0.7466610068660438,711,1000,42
dialseg711,csm,9,7.748603820800781e-07,1.71743388834476,wf1,0.6747603944063536,0.6648499743763228,0.6859104312956241,711,1000,42
dialseg711,csm,9,7.748603820800781e-07,1.71743388834476,wf1_1to1,0.6725934168972143,0.6621206688295296,0.6842906813845632,711,1000,42
dialseg711,csm,9,7.748603820800781e-07,1.71743388834476,exact_f1,0.4427214292193195,0.42777542507500316,0.4585189777014672,711,1000,42
dialseg711,csm,9,7.748603820800781e-07,1.71743388834476,coverage,0.7397216873218982,0.7315607869431708,0.7478308974438984,711,1000,42
dialseg711,csm,10,8.940696716308594e-07,1.7056807051909892,wf1,0.6750785369425003,0.6649120785335894,0.6861989266406114,711,1000,42
dialseg711,csm,10,8.940696716308594e-07,1.7056807051909892,wf1_1to1,0.673102120570475,0.6624164152381451,0.6845752202555999,711,1000,42
dialseg711,csm,10,8.940696716308594e-07,1.7056807051909892,exact_f1,0.44280606094952085,0.4276188386156741,0.45831974460139013,711,1000,42
dialseg711,csm,10,8.940696716308594e-07,1.7056807051909892,coverage,0.7417259067311809,0.7337261605405065,0.7496359609096951,711,1000,42
dialseg711,csm,11,1.0132789611816406e-06,1.6944172380019589,wf1,0.6748551325741468,0.6646423309864345,0.6858827709514331,711,1000,42
dialseg711,csm,11,1.0132789611816406e-06,1.6944172380019589,wf1_1to1,0.6730072396739063,0.6627828256678467,0.6846574469833963,711,1000,42
dialseg711,csm,11,1.0132789611816406e-06,1.6944172380019589,exact_f1,0.4438843544328776,0.4289113457256917,0.45940981447837986,711,1000,42
dialseg711,csm,11,1.0132789611816406e-06,1.6944172380019589,coverage,0.7436978945417764,0.7356463485920237,0.7514504590434179,711,1000,42
dialseg711,csm,12,1.0728836059570312e-06,1.6885406464250734,wf1,0.6748217007586351,0.664833579933651,0.68579920962807,711,1000,42
dialseg711,csm,12,1.0728836059570312e-06,1.6885406464250734,wf1_1to1,0.6733504423377841,0.6629813277439859,0.6850428993572453,711,1000,42
dialseg711,csm,12,1.0728836059570312e-06,1.6885406464250734,exact_f1,0.4443780785552937,0.4291149109134341,0.4598477110871625,711,1000,42
dialseg711,csm,12,1.0728836059570312e-06,1.6885406464250734,coverage,0.744609588333217,0.7363325220353172,0.7525728180633243,711,1000,42
dialseg711,csm,13,1.2516975402832031e-06,1.6723800195886387,wf1,0.6749809912574435,0.6647183946681745,0.6863310674089753,711,1000,42
dialseg711,csm,13,1.2516975402832031e-06,1.6723800195886387,wf1_1to1,0.6731157262802832,0.662443637195747,0.6852978879613901,711,1000,42
dialseg711,csm,13,1.2516975402832031e-06,1.6723800195886387,exact_f1,0.4450244863746973,0.42987251457715586,0.46042853946334955,711,1000,42
dialseg711,csm,13,1.2516975402832031e-06,1.6723800195886387,coverage,0.7476835898513114,0.7395687648126995,0.755673378231395,711,1000,42
dialseg711,csm,14,1.3113021850585938e-06,1.6660137120470127,wf1,0.6751640659431373,0.6645685934556007,0.6863167029836751,711,1000,42
