dataset,model,step,tau,bor,metric,estimate,ci_low,ci_high,n_dialogues,bootstrap_n,bootstrap_seed
dialseg711,neural,0,3.525810097926296e-05,2.068560235063663,wf1,0.6661307774527848,0.6563903797855012,0.6757788142377804,711,1000,42
dialseg711,neural,0,3.525810097926296e-05,2.068560235063663,wf1_1to1,0.6329008388080117,0.6243348747673643,0.6416533146490951,711,1000,42
dialseg711,neural,0,3.525810097926296e-05,2.068560235063663,exact_f1,0.35436420119964424,0.33857631195183935,0.3703110321464751,711,1000,42
dialseg711,neural,0,3.525810097926296e-05,2.068560235063663,coverage,0.65236142978759,0.6436733357184307,0.6611035947955778,711,1000,42
dialseg711,neural,1,3.8098520738243514e-05,2.0558276199804113,wf1,0.66884533590574,0.6593174242081496,0.6786729094609357,711,1000,42
dialseg711,neural,1,3.8098520738243514e-05,2.0558276199804113,wf1_1to1,0.6358608261561848,0.6274642969157737,0.6445720321247748,711,1000,42
dialseg711,neural,1,3.8098520738243514e-05,2.0558276199804113,exact_f1,0.35596293845238997,0.3400637450531965,0.37194557122827165,711,1000,42
dialseg711,neural,1,3.8098520738243514e-05,2.0558276199804113,coverage,0.6541104474912492,0.6454634868374319,0.6627051263463447,711,1000,42
dialseg711,neural,2,3.952637290518882e-05,2.0426052889324193,wf1,0.6717385893288476,0.6622706112210566,0.6816456661738685,711,1000,42
dialseg711,neural,2,3.952637290518882e-05,2.0426052889324193,wf1_1to1,0.6392274236156092,0.6305854221571521,0.6484077740512341,711,1000,42
dialseg711,neural,2,3.952637290518882e-05,2.0426052889324193,exact_f1,0.35805508759095256,0.3420515238394985,0.37411024844041724,711,1000,42
dialseg711,neural,2,3.952637290518882e-05,2.0426052889324193,coverage,0.6560543896250648,0.6473980030361887,0.6647014717584336,711,1000,42
dialseg711,neural,3,4.08126545345163e-05,2.029382957884427,wf1,0.6746161072357036,0.6650201317960962,0.6847091090696056,711,1000,42
dialseg711,neural,3,4.08126545345163e-05,2.029382957884427,wf1_1to1,0.6426959038773384,0.6337504759656658,0.6519878119614406,711,1000,42
dialseg711,neural,3,4.08126545345163e-05,2.029382957884427,exact_f1,0.3597677131432406,0.34335527732152205,0.3759495595044118,711,1000,42
dialseg711,neural,3,4.08126545345163e-05,2.029382957884427,coverage,0.658000982842755,0.6493077268195939,0.6668223743751169,711,1000,42
dialseg711,neural,4,4.20308901833888e-05,2.016160626836435,wf1,0.6774758786889561,0.6675737361520184,0.6877233683846091,711,1000,42
