dataset,model,step,tau,bor,metric,estimate,ci_low,ci_high,n_dialogues,bootstrap_n,bootstrap_seed
dialseg711,texttiling,0,0.0,2.014201762977473,wf1,0.6565497999111453,0.647540191993207,0.6655929634024861,711,1000,42
dialseg711,texttiling,0,0.0,2.014201762977473,wf1_1to1,0.6390034250793744,0.6298040422618482,0.6478986668121689,711,1000,42
dialseg711,texttiling,0,0.0,2.014201762977473,coverage,0.6892893918474087,0.6809831928014943,0.6980970221858934,711,1000,42
dialseg711,texttiling,1,2.935169330194981e-05,1.8134182174338884,wf1,0.6647365921104599,0.6554493880370083,0.6751501329133885,711,1000,42
dialseg711,texttiling,1,2.935169330194981e-05,1.8134182174338884,wf1_1to1,0.6589499498782199,0.6484876820319858,0.6691556357379141,711,1000,42
dialseg711,texttiling,1,2.935169330194981e-05,1.8134182174338884,coverage,0.7256942151456919,0.7173991690691323,0.7338939300463562,711,1000,42
dialseg711,texttiling,2,0.002441988106648527,1.8050930460333008,wf1,0.6640689061884991,0.6546863186848942,0.673990749353295,711,1000,42
dialseg711,texttiling,2,0.002441988106648527,1.8050930460333008,wf1_1to1,0.6588469508300732,0.6484141089415351,0.6688806284745104,711,1000,42
dialseg711,texttiling,2,0.002441988106648527,1.8050930460333008,coverage,0.727004966825642,0.718659255823681,0.7351769385775185,711,1000,42
dialseg711,texttiling,3,0.004901258565073636,1.7972575905974535,wf1,0.6643263530704185,0.6544522999736572,0.6745824140198616,711,1000,42
dialseg711,texttiling,3,0.004901258565073636,1.7972575905974535,wf1_1to1,0.6593213553129164,0.6489872834229373,0.6693898773909321,711,1000,42
dialseg711,texttiling,3,0.004901258565073636,1.7972575905974535,coverage,0.7283366481151291,0.7199051790382224,0.7366135057267704,711,1000,42
dialseg711,texttiling,4,0.007494002730403134,1.787952987267385,wf1,0.6628797930485296,0.6530643490089533,0.6729739055867006,711,1000,42
dialseg711,texttiling,4,0.007494002730403134,1.787952987267385,wf1_1to1,0.6585937659777321,0.6482809710605069,0.6690501380163826,711,1000,42
dialseg711,texttiling,4,0.007494002730403134,1.787952987267385,coverage,0.7298134413640743,0.7215614030981911,0.7380981713873327,711,1000,42
dialseg711,texttiling,5,0.009175560881744092,1.7781586679725758,wf1,0.6624421926331366,0.6530250302019556,0.6724706951298658,711,1000,42
dialseg711,texttiling,5,0.009175560881744092,1.7781586679725758,wf1_1to1,0.6583780260995451,0.6476836731794537,0.6687979577852996,711,1000,42
dialseg711,texttiling,5,0.009175560881744092,1.7781586679725758,coverage,0.731884077400955,0.723900561537033,0.739950412656768,711,1000,42
dialseg711,texttiling,6,0.011044772426087666,1.770812928501469,wf1,0.6620807488036836,0.652346009232595,0.672317606392855,711,1000,42
dialseg711,texttiling,6,0.011044772426087666,1.770812928501469,wf1_1to1,0.65859457779289,0.6481654749376268,0.6689088517358559,711,1000,42
dialseg711,texttiling,6,0.011044772426087666,1.770812928501469,coverage,0.7329182791735533,0.724638619506763,0.7409335300092157,711,1000,42
dialseg711,texttiling,7,0.013523615335100268,1.7624877571008815,wf1,0.661392612302821,0.6517296389322419,0.6718458070525095,711,1000,42
dialseg711,texttiling,7,0.013523615335100268,1.7624877571008815,wf1_1to1,0.6578787597774939,0.6474410187015671,0.6681852096567286,711,1000,42
dialseg711,texttiling,7,0.013523615335100268,1.7624877571008815,coverage,0.7341952644167834,0.7260554041012903,0.7421263867598255,711,1000,42
dialseg711,texttiling,8,0.015899514133606765,1.753183153770813,wf1,0.6613810596453199,0.6520118527940074,0.6716844585562434,711,1000,42
dialseg711,texttiling,8,0.015899514133606765,1.753183153770813,wf1_1to1,0.657467169492486,0.6470918214852813,0.6676576900205592,711,1000,42
dialseg711,texttiling,8,0.015899514133606765,1.753183153770813,coverage,0.7360031640886072,0.7277549806518688,0.7440405159821036,711,1000,42
dialseg711,texttiling,9,0.018118254428532935,1.7458374142997062,wf1,0.6620498618131228,0.6525500887386627,0.6727022415797339,711,1000,42
dialseg711,texttiling,9,0.018118254428532935,1.7458374142997062,wf1_1to1,0.6579792219032725,0.6474364856115911,0.6684078448899123,711,1000,42
dialseg711,texttiling,9,0.018118254428532935,1.7458374142997062,coverage,0.7373528448422964,0.729012031417754,0.7457740774862346,711,1000,42
dialseg711,texttiling,10,0.020499287088911747,1.7404505386875613,wf1,0.6627233482549205,0.6532056426922279,0.6733832965743183,711,1000,42
dialseg711,texttiling,10,0.020499287088911747,1.7404505386875613,wf1_1to1,0.65869077788909,0.6481305393699908,0.668747209385395,711,1000,42
dialseg711,texttiling,10,0.020499287088911747,1.7404505386875613,coverage,0.7384143946380233,0.7302284688617758,0.746821115378605,711,1000,42
dialseg711,texttiling,11,0.022520742112368194,1.7306562193927522,wf1,0.6621725307520057,0.6524743384810793,0.6727163496942433,711,1000,42
dialseg711,texttiling,11,0.022520742112368194,1.7306562193927522,wf1_1to1,0.65809855873147,0.647587873526692,0.668386943381669,711,1000,42
dialseg711,texttiling,11,0.022520742112368194,1.7306562193927522,coverage,0.7400258350416579,0.7319108229050212,0.7482896807784729,711,1000,42
dialseg711,texttiling,12,0.02469305297238145,1.7213516160626836,wf1,0.6610487592829741,0.6511646042991099,0.671730844196816,711,1000,42
dialseg711,texttiling,12,0.02469305297238145,1.7213516160626836,wf1_1to1,0.6573065315681349,0.6466576754234982,0.6680355950503629,711,1000,42
dialseg711,texttiling,12,0.02469305297238145,1.7213516160626836,coverage,0.7418693150496949,0.7336036775626702,0.7498637872227006,711,1000,42
dialseg711,texttiling,13,0.02626736480836303,1.7115572967678747,wf1,0.6601137897222575,0.6503227426910106,0.6707957862763886,711,1000,42
dialseg711,texttiling,13,0.02626736480836303,1.7115572967678747,wf1_1to1,0.6568731237507609,0.6461242472951333,0.6677933109631421,711,1000,42
dialseg711,texttiling,13,0.02626736480836303,1.7115572967678747,coverage,0.7433519685893104,0.7353245227434311,0.7513778250289328,711,1000,42
dialseg711,texttiling,14,0.028101543909940296,1.6998041136141038,wf1,0.6595486414777845,0.6496694805310774,0.6704754161573059,711,1000,42
dialseg711,texttiling,14,0.028101543909940296,1.6998041136141038,wf1_1to1,0.6563210894434524,0.6457394619367193,0.6669000555234732,711,1000,42
dialseg711,texttiling,14,0.028101543909940296,1.6998041136141038,coverage,0.7452970269689679,0.7369351050818613,0.7531676250281207,711,1000,42
dialseg711,texttiling,15,0.03090530813638889,1.6885406464250734,wf1,0.6580210881037496,0.6479087166758587,0.6689815957226444,711,1000,42
dialseg711,texttiling,15,0.03090530813638889,1.6885406464250734,wf1_1to1,0.65505049724459,0.6443985844987955,0.665439623277176,711,1000,42
dialseg711,texttiling,15,0.03090530813638889,1.6885406464250734,coverage,0.7467902848440824,0.7383743724678588,0.7546120179486477,711,1000,42
dialseg711,texttiling,16,0.033044014069902254,1.6807051909892263,wf1,0.6563873638217256,0.6462093616017089,0.6671218275225954,711,1000,42
dialseg711,texttiling,16,0.033044014069902254,1.6807051909892263,wf1_1to1,0.653844951735247,0.6431777637895781,0.664296998126112,711,1000,42
dialseg711,texttiling,16,0.033044014069902254,1.6807051909892263,coverage,0.7478498812095858,0.7397663554262974,0.7555896247885963,711,1000,42
dialseg711,texttiling,17,0.034780186324862385,1.67384916748286,wf1,0.6568393110265621,0.6466575687159469,0.6681278663351665,711,1000,42
dialseg711,texttiling,17,0.034780186324862385,1.67384916748286,wf1_1to1,0.6548663166806626,0.6439310142896641,0.6654814723485609,711,1000,42
dialseg711,texttiling,17,0.034780186324862385,1.67384916748286,coverage,0.7493519295207058,0.7411089613865195,0.7573310783167059,711,1000,42
dialseg711,texttiling,18,0.03655398453599851,1.6650342801175317,wf1,0.6573445410676572,0.6470894099093166,0.6683574482474324,711,1000,42
dialseg711,texttiling,18,0.03655398453599851,1.6650342801175317,wf1_1to1,0.6556145058254762,0.6448928175668682,0.6662190901378664,711,1000,42
dialseg711,texttiling,18,0.03655398453599851,1.6650342801175317,coverage,0.7508916511289928,0.7425932334582123,0.7588788597517502,711,1000,42
dialseg711,texttiling,19,0.03849937448549512,1.657688540646425,wf1,0.6585520840695595,0.648248971758384,0.6695575425405694,711,1000,42
dialseg711,texttiling,19,0.03849937448549512,1.657688540646425,wf1_1to1,0.6571590856400982,0.6462491349094723,0.6678877356039803,711,1000,42
dialseg711,texttiling,19,0.03849937448549512,1.657688540646425,coverage,0.7524948592195427,0.7442376122861356,0.760503008575266,711,1000,42
dialseg711,texttiling,20,0.04039256364556413,1.6493633692458374,wf1,0.6586749405437372,0.6488295090552009,0.6693778446865924,711,1000,42
dialseg711,texttiling,20,0.04039256364556413,1.6493633692458374,wf1_1to1,0.6579705963672208,0.6468324190265119,0.6686519555612382,711,1000,42
dialseg711,texttiling,20,0.04039256364556413,1.6493633692458374,coverage,0.7541650420606116,0.7459273202818824,0.7622682305778298,711,1000,42
dialseg711,texttiling,21,0.04188684235565634,1.6410381978452497,wf1,0.658146854783584,0.6477713163106092,0.6684966343958819,711,1000,42
dialseg711,texttiling,21,0.04188684235565634,1.6410381978452497,wf1_1to1,0.6578363424354986,0.6471729294303135,0.668502480095307,711,1000,42
dialseg711,texttiling,21,0.04188684235565634,1.6410381978452497,coverage,0.755618394146875,0.7474425561497028,0.763707040366455,711,1000,42
dialseg711,texttiling,22,0.04373504154047181,1.6317335945151812,wf1,0.657122284362141,0.6463735810233512,0.6679517284661453,711,1000,42
dialseg711,texttiling,22,0.04373504154047181,1.6317335945151812,wf1_1to1,0.6571395005994163,0.6459576474080693,0.6681111598200205,711,1000,42
dialseg711,texttiling,22,0.04373504154047181,1.6317335945151812,coverage,0.7570056340362248,0.7488881858442776,0.7649298635367991,711,1000,42
dialseg711,texttiling,23,0.04573210220241069,1.6219392752203723,wf1,0.655104346878958,0.6441811439160553,0.6661592326090281,711,1000,42
dialseg711,texttiling,23,0.04573210220241069,1.6219392752203723,wf1_1to1,0.6550484677066956,0.6433966650633318,0.6659728841638124,711,1000,42
dialseg711,texttiling,23,0.04573210220241069,1.6219392752203723,coverage,0.7586201441159246,0.750428827086923,0.7666426883106734,711,1000,42
dialseg711,texttiling,24,0.04815839193574156,1.6145935357492653,wf1,0.6539787114395971,0.6430043042406127,0.6652733918762248,711,1000,42
dialseg711,texttiling,24,0.04815839193574156,1.6145935357492653,wf1_1to1,0.6539835691734426,0.642570660703572,0.6653952601157241,711,1000,42
dialseg711,texttiling,24,0.04815839193574156,1.6145935357492653,coverage,0.7598164805970714,0.7514915099356028,0.7679723996555483,711,1000,42
dialseg711,texttiling,25,0.04975935929085142,1.6043095004897159,wf1,0.6527905196403151,0.6420079678422546,0.6637257560665198,711,1000,42
dialseg711,texttiling,25,0.04975935929085142,1.6043095004897159,wf1_1to1,0.6524801889780791,0.6410232978851121,0.6638088261558724,711,1000,42
dialseg711,texttiling,25,0.04975935929085142,1.6043095004897159,coverage,0.7612270094337606,0.753084866449186,0.7691162662642093,711,1000,42
dialseg711,texttiling,26,0.051905380421547485,1.593535749265426,wf1,0.6524346570400721,0.6412908992242715,0.6636020261424822,711,1000,42
dialseg711,texttiling,26,0.051905380421547485,1.593535749265426,wf1_1to1,0.6524497459096614,0.6409337092037513,0.6639609324102995,711,1000,42
dialseg711,texttiling,26,0.051905380421547485,1.593535749265426,coverage,0.7632150432783344,0.7549466361551014,0.7709806330712184,711,1000,42
dialseg711,texttiling,27,0.05369307244917256,1.5842311459353575,wf1,0.6507156384434163,0.639269516841462,0.6622034637166686,711,1000,42
dialseg711,texttiling,27,0.05369307244917256,1.5842311459353575,wf1_1to1,0.6510923909658087,0.639479867296323,0.6627408325773305,711,1000,42
dialseg711,texttiling,27,0.05369307244917256,1.5842311459353575,coverage,0.7645001213039188,0.7564407333856173,0.7725144534809618,711,1000,42
dialseg711,texttiling,28,0.05559761919567934,1.5744368266405484,wf1,0.650536367317723,0.6387584385271806,0.6623349002544068,711,1000,42
dialseg711,texttiling,28,0.05559761919567934,1.5744368266405484,wf1_1to1,0.6508356544221522,0.6391103292316372,0.6625852833289542,711,1000,42
dialseg711,texttiling,28,0.05559761919567934,1.5744368266405484,coverage,0.7661903965701433,0.7580732501987777,0.7742677306772772,711,1000,42
dialseg711,texttiling,29,0.057410831652095026,1.5612144955925564,wf1,0.6488006516262075,0.6366690872511763,0.6609455494739884,711,1000,42
dialseg711,texttiling,29,0.057410831652095026,1.5612144955925564,wf1_1to1,0.6488889216737318,0.6369268737201227,0.6606804355591275,711,1000,42
dialseg711,texttiling,29,0.057410831652095026,1.5612144955925564,coverage,0.7681180136085201,0.7598974106160288,0.7762282667715157,711,1000,42
