dataset,model,step,tau,bor,metric,estimate,ci_low,ci_high,n_dialogues,bootstrap_n,bootstrap_seed
superseg,texttiling,0,0.0,1.234348272322956,wf1,0.6076915174450104,0.5940093585456004,0.6222201517681294,1322,1000,42
superseg,texttiling,0,0.0,1.234348272322956,wf1_1to1,0.6327558598738628,0.6185012759974938,0.6484814019817803,1322,1000,42
superseg,texttiling,0,0.0,1.234348272322956,exact_f1,0.3821211902906305,0.3671099898378643,0.3968601893148036,1322,1000,42
superseg,texttiling,0,0.0,1.234348272322956,coverage,0.761475097855582,0.7517970944996759,0.7704526421007132,1322,1000,42
superseg,texttiling,1,0.0013864739755889278,1.0526855969893945,wf1,0.5797386038264386,0.5654945514399773,0.5949620021070364,1322,1000,42
superseg,texttiling,1,0.0013864739755889278,1.0526855969893945,wf1_1to1,0.6050502867446892,0.5898038235717887,0.6211322895040747,1322,1000,42
superseg,texttiling,1,0.0013864739755889278,1.0526855969893945,exact_f1,0.35181739591724465,0.33633823375313543,0.36698158917901735,1322,1000,42
superseg,texttiling,1,0.0013864739755889278,1.0526855969893945,coverage,0.7977709939245491,0.7887499362137693,0.806021216801143,1322,1000,42
superseg,texttiling,2,0.0032258686707846876,1.047895997263086,wf1,0.578906531209192,0.5643392931142108,0.5943702292153279,1322,1000,42
superseg,texttiling,2,0.0032258686707846876,1.047895997263086,wf1_1to1,0.6037895706579519,0.5886532454979884,0.6194261449594279,1322,1000,42
superseg,texttiling,2,0.0032258686707846876,1.047895997263086,exact_f1,0.3510105376217328,0.33571489560615886,0.3665911478628952,1322,1000,42
superseg,texttiling,2,0.0032258686707846876,1.047895997263086,coverage,0.7985484355113704,0.7895175847381314,0.8069831101565689,1322,1000,42
superseg,texttiling,3,0.005152784325369649,1.0424221690044475,wf1,0.5770568806076504,0.5629861556551287,0.5930315242587202,1322,1000,42
superseg,texttiling,3,0.005152784325369649,1.0424221690044475,wf1_1to1,0.6016877768390628,0.5865299594715253,0.6178289527542553,1322,1000,42
superseg,texttiling,3,0.005152784325369649,1.0424221690044475,exact_f1,0.3486944220680983,0.3330651146214686,0.3644361883913699,1322,1000,42
superseg,texttiling,3,0.005152784325369649,1.0424221690044475,coverage,0.7993066661863939,0.7904120890665899,0.8076192382273131,1322,1000,42
superseg,texttiling,4,0.007508696323663158,1.0359219979473144,wf1,0.5746381067440959,0.5604998789847393,0.5907445608784935,1322,1000,42
superseg,texttiling,4,0.007508696323663158,1.0359219979473144,wf1_1to1,0.5989268086091082,0.5834153631080636,0.6146726804461299,1322,1000,42
superseg,texttiling,4,0.007508696323663158,1.0359219979473144,exact_f1,0.34629365843435433,0.33072841282939613,0.3624357757933779,1322,1000,42
superseg,texttiling,4,0.007508696323663158,1.0359219979473144,coverage,0.800044185097135,0.7911637700213723,0.8084949526330956,1322,1000,42
superseg,texttiling,5,0.009618550539016724,1.0287375983578515,wf1,0.5738618658392619,0.5597194645061069,0.5899617482462659,1322,1000,42
superseg,texttiling,5,0.009618550539016724,1.0287375983578515,wf1_1to1,0.5984243231973944,0.5829703535244383,0.6144052326266773,1322,1000,42
superseg,texttiling,5,0.009618550539016724,1.0287375983578515,exact_f1,0.3451680190711961,0.32954683123650597,0.3610683040694387,1322,1000,42
superseg,texttiling,5,0.009618550539016724,1.0287375983578515,coverage,0.8017314434598853,0.7928771432173474,0.8099879046298298,1322,1000,42
superseg,texttiling,6,0.01198342172943769,1.0212110845022238,wf1,0.5721520946892488,0.5576871107976497,0.5881557962890837,1322,1000,42
superseg,texttiling,6,0.01198342172943769,1.0212110845022238,wf1_1to1,0.5964696129219579,0.5806714650284998,0.6130310234394954,1322,1000,42
superseg,texttiling,6,0.01198342172943769,1.0212110845022238,exact_f1,0.3439841466316504,0.3283807889244727,0.35975717571216814,1322,1000,42
superseg,texttiling,6,0.01198342172943769,1.0212110845022238,coverage,0.8035696875825469,0.7950710391002089,0.8116306949847515,1322,1000,42
superseg,texttiling,7,0.014648528254810948,1.0143687991789259,wf1,0.56941814180401,0.5548380700558774,0.5857172125371489,1322,1000,42
superseg,texttiling,7,0.014648528254810948,1.0143687991789259,wf1_1to1,0.5924029030307396,0.5769602347769897,0.6087117992110428,1322,1000,42
superseg,texttiling,7,0.014648528254810948,1.0143687991789259,exact_f1,0.3408077424340662,0.32589974469134836,0.35626939920056405,1322,1000,42
superseg,texttiling,7,0.014648528254810948,1.0143687991789259,coverage,0.8042378671085177,0.7955748565185026,0.812344038163677,1322,1000,42
superseg,texttiling,8,0.016930023030420058,1.0082107423879576,wf1,0.5678566548794368,0.5531820698755824,0.5837042146088711,1322,1000,42
superseg,texttiling,8,0.016930023030420058,1.0082107423879576,wf1_1to1,0.5910215184042718,0.5754272613207938,0.6073013976484097,1322,1000,42
superseg,texttiling,8,0.016930023030420058,1.0082107423879576,exact_f1,0.33897970410829714,0.32380015303237697,0.35445257360726345,1322,1000,42
superseg,texttiling,8,0.016930023030420058,1.0082107423879576,coverage,0.8051308743366232,0.7965907152762769,0.8131912101073409,1322,1000,42
superseg,texttiling,9,0.019563519325687662,1.0003421142661648,wf1,0.5658106927729604,0.5509645405863258,0.5815685856357856,1322,1000,42
superseg,texttiling,9,0.019563519325687662,1.0003421142661648,wf1_1to1,0.5881110652668897,0.5723197257860646,0.6045927000172462,1322,1000,42
superseg,texttiling,9,0.019563519325687662,1.0003421142661648,exact_f1,0.3370538102005575,0.3214606842140882,0.35262609071043255,1322,1000,42
superseg,texttiling,9,0.019563519325687662,1.0003421142661648,coverage,0.8062066853973057,0.7974990109382128,0.8144087939449607,1322,1000,42
superseg,texttiling,10,0.021259575782708786,0.9962367430721861,wf1,0.5656053761531202,0.550677049162855,0.5814738799980634,1322,1000,42
superseg,texttiling,10,0.021259575782708786,0.9962367430721861,wf1_1to1,0.5877616668085655,0.5718314002353337,0.603983996546402,1322,1000,42
superseg,texttiling,10,0.021259575782708786,0.9962367430721861,exact_f1,0.33644146238699946,0.3209319843671205,0.35216250739510946,1322,1000,42
superseg,texttiling,10,0.021259575782708786,0.9962367430721861,coverage,0.806906382825445,0.7981407882177076,0.8150361532850657,1322,1000,42
superseg,texttiling,11,0.023672595620155334,0.989736572015053,wf1,0.5655369372798402,0.5504341184509378,0.5808214778026005,1322,1000,42
superseg,texttiling,11,0.023672595620155334,0.989736572015053,wf1_1to1,0.5881110652668898,0.5721891461622929,0.6042510773392014,1322,1000,42
superseg,texttiling,11,0.023672595620155334,0.989736572015053,exact_f1,0.3356237979536013,0.32050449518963137,0.35181065572517917,1322,1000,42
superseg,texttiling,11,0.023672595620155334,0.989736572015053,coverage,0.8084840789568476,0.7998929689563672,0.816634534165406,1322,1000,42
superseg,texttiling,12,0.026181091540422873,0.9839206294902497,wf1,0.5632892605994857,0.5483491243079546,0.5786991958223715,1322,1000,42
superseg,texttiling,12,0.026181091540422873,0.9839206294902497,wf1_1to1,0.5853032704394279,0.5704050882719566,0.6019108662811384,1322,1000,42
superseg,texttiling,12,0.026181091540422873,0.9839206294902497,exact_f1,0.33411454069547863,0.31846095491329984,0.3500632595677981,1322,1000,42
superseg,texttiling,12,0.026181091540422873,0.9839206294902497,coverage,0.8095199673414499,0.8008964351751794,0.8177602913454842,1322,1000,42
superseg,texttiling,13,0.02850191295146942,0.9794731440301061,wf1,0.562756157797094,0.5477295726432506,0.5781936420903117,1322,1000,42
superseg,texttiling,13,0.02850191295146942,0.9794731440301061,wf1_1to1,0.5850997548425688,0.5698225323802102,0.6018603271203499,1322,1000,42
superseg,texttiling,13,0.02850191295146942,0.9794731440301061,exact_f1,0.3337891558769017,0.31813221364280364,0.34956544180731014,1322,1000,42
superseg,texttiling,13,0.02850191295146942,0.9794731440301061,coverage,0.8103850587133493,0.8017533544053023,0.8187053016113153,1322,1000,42
superseg,texttiling,14,0.030665530724890793,0.9743414300376325,wf1,0.5623347184195275,0.5474112821216142,0.5778469558409711,1322,1000,42
superseg,texttiling,14,0.030665530724890793,0.9743414300376325,wf1_1to1,0.5849556730040845,0.5692559100842006,0.6014272561360307,1322,1000,42
superseg,texttiling,14,0.030665530724890793,0.9743414300376325,exact_f1,0.33265090935287606,0.3165994475771329,0.34844404030580284,1322,1000,42
superseg,texttiling,14,0.030665530724890793,0.9743414300376325,coverage,0.8113242921979684,0.8025466254832745,0.8196778022416733,1322,1000,42
superseg,texttiling,15,0.03365788672437623,0.9719466301744782,wf1,0.5624059117985433,0.547239470628943,0.5781309051723197,1322,1000,42
superseg,texttiling,15,0.03365788672437623,0.9719466301744782,wf1_1to1,0.5850637343829477,0.5693433210972925,0.6015011581123533,1322,1000,42
superseg,texttiling,15,0.03365788672437623,0.9719466301744782,exact_f1,0.33306514463851833,0.31698140361907384,0.3488215701973266,1322,1000,42
superseg,texttiling,15,0.03365788672437623,0.9719466301744782,coverage,0.8117518850707202,0.8030161754376485,0.8201605304312849,1322,1000,42
superseg,texttiling,16,0.03611714516452812,0.9640780020526856,wf1,0.5590848254214811,0.5438503286176708,0.5749895746131396,1322,1000,42
superseg,texttiling,16,0.03611714516452812,0.9640780020526856,wf1_1to1,0.5815805559375907,0.5661087929762286,0.5982629760976962,1322,1000,42
superseg,texttiling,16,0.03611714516452812,0.9640780020526856,exact_f1,0.3293970611671066,0.3136836664134319,0.3450665423415045,1322,1000,42
superseg,texttiling,16,0.03611714516452812,0.9640780020526856,coverage,0.812602868429268,0.8038692712460678,0.8209359211031865,1322,1000,42
superseg,texttiling,17,0.03898266047688583,0.9575778309955525,wf1,0.5579177625297587,0.5424429847008716,0.5734452669918653,1322,1000,42
superseg,texttiling,17,0.03898266047688583,0.9575778309955525,wf1_1to1,0.579833563645969,0.5641928770086865,0.5962911984006916,1322,1000,42
superseg,texttiling,17,0.03898266047688583,0.9575778309955525,exact_f1,0.32749878294507645,0.31144252799226324,0.3429700410742393,1322,1000,42
superseg,texttiling,17,0.03898266047688583,0.9575778309955525,coverage,0.8132099632591311,0.8045640233652716,0.8214481125279158,1322,1000,42
superseg,texttiling,18,0.04098112881183624,0.9517618884707493,wf1,0.5555440142407305,0.5399930326735747,0.5717586424383166,1322,1000,42
superseg,texttiling,18,0.04098112881183624,0.9517618884707493,wf1_1to1,0.5772112741855556,0.5611076032095321,0.5942339389682431,1322,1000,42
superseg,texttiling,18,0.04098112881183624,0.9517618884707493,exact_f1,0.32533395332185044,0.3093452626546424,0.34113907199289195,1322,1000,42
superseg,texttiling,18,0.04098112881183624,0.9517618884707493,coverage,0.8139002053166199,0.8050973055195351,0.822203258200658,1322,1000,42
superseg,texttiling,19,0.042607817630372455,0.9449196031474513,wf1,0.5548019927725366,0.5393907998834248,0.5713793297427163,1322,1000,42
superseg,texttiling,19,0.042607817630372455,0.9449196031474513,wf1_1to1,0.5760141942441489,0.5599406099027884,0.5928378473518414,1322,1000,42
superseg,texttiling,19,0.042607817630372455,0.9449196031474513,exact_f1,0.3242881593108522,0.3083357087734924,0.33983936785184893,1322,1000,42
superseg,texttiling,19,0.042607817630372455,0.9449196031474513,coverage,0.8154445825228731,0.8070199598371877,0.8237986223675047,1322,1000,42
superseg,texttiling,20,0.045372691136508755,0.9384194320903182,wf1,0.5540959917639636,0.5386579514329916,0.5710783056059264,1322,1000,42
superseg,texttiling,20,0.045372691136508755,0.9384194320903182,wf1_1to1,0.5747480750884684,0.5592692635780759,0.5915946844171126,1322,1000,42
superseg,texttiling,20,0.045372691136508755,0.9384194320903182,exact_f1,0.32339124986628764,0.3072623686617635,0.3387926637784807,1322,1000,42
superseg,texttiling,20,0.045372691136508755,0.9384194320903182,coverage,0.8164108313522082,0.8077548282424416,0.8246883667423098,1322,1000,42
superseg,texttiling,21,0.047544849577860614,0.9322613752993499,wf1,0.5515961718662618,0.5363209180087016,0.5685767179126728,1322,1000,42
superseg,texttiling,21,0.047544849577860614,0.9322613752993499,wf1_1to1,0.5721329897199791,0.5565926678171383,0.5889693400396879,1322,1000,42
superseg,texttiling,21,0.047544849577860614,0.9322613752993499,exact_f1,0.32184237010258193,0.3061018099189431,0.3370212512525296,1322,1000,42
superseg,texttiling,21,0.047544849577860614,0.9322613752993499,coverage,0.817661041471556,0.8090402070876258,0.8257608376557884,1322,1000,42
superseg,texttiling,22,0.04888293147087097,0.9250769757098871,wf1,0.5513962583153649,0.5361249234484974,0.5679869873039759,1322,1000,42
superseg,texttiling,22,0.04888293147087097,0.9250769757098871,wf1_1to1,0.5713891672288041,0.555240360160935,0.5877489122912724,1322,1000,42
superseg,texttiling,22,0.04888293147087097,0.9250769757098871,exact_f1,0.32074914915308256,0.30501629243592177,0.3361267881975144,1322,1000,42
