dialogue_id,n_pred_boundaries,n_gold_boundaries,bor_dialogue
0,1,3,0.3333333333333333
1,3,3,1.0
2,2,3,0.6666666666666666
3,4,3,1.3333333333333333
4,4,3,1.3333333333333333
5,4,3,1.3333333333333333
6,2,3,0.6666666666666666
7,4,3,1.3333333333333333
8,2,3,0.6666666666666666
9,3,3,1.0
10,3,3,1.0
11,1,2,0.5
12,3,3,1.0
13,4,3,1.3333333333333333
14,4,3,1.3333333333333333
15,5,3,1.6666666666666667
16,3,3,1.0
17,4,3,1.3333333333333333
18,3,3,1.0
19,4,3,1.3333333333333333
20,2,3,0.6666666666666666
21,4,3,1.3333333333333333
22,4,3,1.3333333333333333
23,5,3,1.6666666666666667
24,4,3,1.3333333333333333
25,3,3,1.0
26,3,2,1.5
27,3,3,1.0
28,2,3,0.6666666666666666
29,4,3,1.3333333333333333
30,3,3,1.0
31,4,3,1.3333333333333333
32,3,3,1.0
33,5,3,1.6666666666666667
34,4,3,1.3333333333333333
35,3,3,1.0
36,2,3,0.6666666666666666
37,5,3,1.6666666666666667
38,2,2,1.0
39,5,3,1.6666666666666667
40,2,3,0.6666666666666666
41,4,3,1.3333333333333333
42,1,3,0.3333333333333333
43,2,3,0.6666666666666666
44,3,3,1.0
45,3,3,1.0
46,7,3,2.3333333333333335
47,5,3,1.6666666666666667
48,5,3,1.6666666666666667
49,1,3,0.3333333333333333
50,2,3,0.6666666666666666
51,4,3,1.3333333333333333
52,2,3,0.6666666666666666
53,4,3,1.3333333333333333
54,2,3,0.6666666666666666
55,4,3,1.3333333333333333
56,1,2,0.5
57,3,3,1.0
58,3,3,1.0
59,2,3,0.6666666666666666
60,2,3,0.6666666666666666
61,5,3,1.6666666666666667
62,5,3,1.6666666666666667
63,2,3,0.6666666666666666
64,3,3,1.0
65,4,3,1.3333333333333333
66,5,3,1.6666666666666667
67,4,3,1.3333333333333333
68,4,3,1.3333333333333333
69,3,3,1.0
70,3,3,1.0
71,4,3,1.3333333333333333
72,2,3,0.6666666666666666
73,2,3,0.6666666666666666
74,3,3,1.0
75,2,3,0.6666666666666666
76,3,3,1.0
77,4,3,1.3333333333333333
78,2,3,0.6666666666666666
79,3,3,1.0
