dialogue_id,n_pred_boundaries,n_gold_boundaries,bor_dialogue
0,1,3,0.3333333333333333
1,3,3,1.0
2,3,3,1.0
3,6,3,2.0
4,2,3,0.6666666666666666
5,5,3,1.6666666666666667
6,4,3,1.3333333333333333
7,3,3,1.0
8,1,3,0.3333333333333333
9,2,3,0.6666666666666666
10,3,3,1.0
11,3,2,1.5
12,2,3,0.6666666666666666
13,3,3,1.0
14,3,3,1.0
15,3,3,1.0
16,1,3,0.3333333333333333
17,4,3,1.3333333333333333
18,2,3,0.6666666666666666
19,3,3,1.0
20,5,3,1.6666666666666667
21,3,3,1.0
22,3,3,1.0
23,3,3,1.0
24,2,3,0.6666666666666666
25,3,3,1.0
26,4,2,2.0
27,3,3,1.0
28,1,3,0.3333333333333333
29,2,3,0.6666666666666666
30,2,3,0.6666666666666666
31,2,3,0.6666666666666666
32,2,3,0.6666666666666666
33,5,3,1.6666666666666667
34,5,3,1.6666666666666667
35,3,3,1.0
36,2,3,0.6666666666666666
37,3,3,1.0
38,3,2,1.5
39,3,3,1.0
40,4,3,1.3333333333333333
41,3,3,1.0
42,3,3,1.0
43,4,3,1.3333333333333333
44,3,3,1.0
45,3,3,1.0
46,4,3,1.3333333333333333
47,1,3,0.3333333333333333
48,5,3,1.6666666666666667
49,1,3,0.3333333333333333
50,2,3,0.6666666666666666
51,5,3,1.6666666666666667
52,4,3,1.3333333333333333
53,2,3,0.6666666666666666
54,3,3,1.0
55,2,3,0.6666666666666666
56,1,2,0.5
57,2,3,0.6666666666666666
58,5,3,1.6666666666666667
59,3,3,1.0
60,1,3,0.3333333333333333
61,2,3,0.6666666666666666
62,5,3,1.6666666666666667
63,3,3,1.0
64,3,3,1.0
65,2,3,0.6666666666666666
66,3,3,1.0
67,5,3,1.6666666666666667
68,5,3,1.6666666666666667
69,3,3,1.0
70,3,3,1.0
71,4,3,1.3333333333333333
72,2,3,0.6666666666666666
73,4,3,1.3333333333333333
74,4,3,1.3333333333333333
75,2,3,0.6666666666666666
76,3,3,1.0
77,1,3,0.3333333333333333
78,2,3,0.6666666666666666
79,3,3,1.0
80,5,3,1.6666666666666667
81,3,3,1.0
82,6,3,2.0
83,3,3,1.0
