dialogue_id,n_pred_boundaries,n_gold_boundaries,bor_dialogue
0,3,3,1.0
1,3,3,1.0
2,3,3,1.0
3,2,3,0.6666666666666666
4,0,3,0.0
5,5,3,1.6666666666666667
6,2,3,0.6666666666666666
7,2,3,0.6666666666666666
8,5,3,1.6666666666666667
9,2,3,0.6666666666666666
10,2,3,0.6666666666666666
11,4,2,2.0
12,3,3,1.0
13,3,3,1.0
14,3,3,1.0
15,1,3,0.3333333333333333
16,6,3,2.0
17,1,3,0.3333333333333333
18,3,3,1.0
19,4,3,1.3333333333333333
20,6,3,2.0
21,2,3,0.6666666666666666
22,2,3,0.6666666666666666
23,3,3,1.0
24,2,3,0.6666666666666666
25,1,3,0.3333333333333333
26,3,2,1.5
27,4,3,1.3333333333333333
28,3,3,1.0
29,2,3,0.6666666666666666
30,3,3,1.0
31,1,3,0.3333333333333333
32,3,3,1.0
33,4,3,1.3333333333333333
34,5,3,1.6666666666666667
35,4,3,1.3333333333333333
36,1,3,0.3333333333333333
37,5,3,1.6666666666666667
38,2,2,1.0
39,2,3,0.6666666666666666
40,3,3,1.0
41,4,3,1.3333333333333333
42,3,3,1.0
43,3,3,1.0
44,1,3,0.3333333333333333
45,2,3,0.6666666666666666
46,6,3,2.0
47,2,3,0.6666666666666666
48,4,3,1.3333333333333333
49,2,3,0.6666666666666666
50,4,3,1.3333333333333333
51,2,3,0.6666666666666666
52,5,3,1.6666666666666667
53,1,3,0.3333333333333333
54,3,3,1.0
55,2,3,0.6666666666666666
56,3,2,1.5
57,4,3,1.3333333333333333
58,2,3,0.6666666666666666
59,3,3,1.0
60,2,3,0.6666666666666666
61,6,3,2.0
62,4,3,1.3333333333333333
63,3,3,1.0
64,3,3,1.0
65,3,3,1.0
66,5,3,1.6666666666666667
67,5,3,1.6666666666666667
68,4,3,1.3333333333333333
69,4,3,1.3333333333333333
70,1,3,0.3333333333333333
71,5,3,1.6666666666666667
72,4,3,1.3333333333333333
73,3,3,1.0
74,3,3,1.0
75,3,3,1.0
76,2,3,0.6666666666666666
77,2,3,0.6666666666666666
78,2,3,0.6666666666666666
79,2,3,0.6666666666666666
80,4,3,1.3333333333333333
81,5,3,1.6666666666666667
82,2,3,0.6666666666666666
83,3,3,1.0
84,1,3,0.3333333333333333
85,4,3,1.3333333333333333
86,2,3,0.6666666666666666
87,3,3,1.0
88,4,3,1.3333333333333333
89,3,3,1.0
90,3,3,1.0
91,4,2,2.0
92,4,3,1.3333333333333333
93,4,3,1.3333333333333333
94,3,3,1.0
95,3,2,1.5
96,3,3,1.0
97,8,3,2.6666666666666665
98,4,3,1.3333333333333333
99,3,3,1.0
100,2,3,0.6666666666666666
101,2,3,0.6666666666666666
102,4,3,1.3333333333333333
103,1,3,0.3333333333333333
104,2,3,0.6666666666666666
105,3,3,1.0
106,0,3,0.0
107,2,3,0.6666666666666666
108,4,3,1.3333333333333333
109,3,3,1.0
110,4,3,1.3333333333333333
111,4,3,1.3333333333333333
112,3,3,1.0
113,4,3,1.3333333333333333
114,4,3,1.3333333333333333
115,4,3,1.3333333333333333
116,4,3,1.3333333333333333
117,1,3,0.3333333333333333
118,2,3,0.6666666666666666
119,2,3,0.6666666666666666
120,5,3,1.6666666666666667
121,3,3,1.0
122,2,3,0.6666666666666666
123,4,3,1.3333333333333333
124,2,3,0.6666666666666666
125,2,2,1.0
126,2,3,0.6666666666666666
127,3,3,1.0
128,4,2,2.0
129,1,2,0.5
130,4,3,1.3333333333333333
131,1,3,0.3333333333333333
132,3,3,1.0
133,3,3,1.0
134,3,3,1.0
135,4,3,1.3333333333333333
136,3,2,1.5
137,3,3,1.0
138,3,3,1.0
139,3,3,1.0
140,3,3,1.0
141,4,3,1.3333333333333333
142,2,3,0.6666666666666666
143,4,3,1.3333333333333333
144,5,3,1.6666666666666667
145,2,2,1.0
146,4,3,1.3333333333333333
147,4,3,1.3333333333333333
148,3,3,1.0
149,4,3,1.3333333333333333
150,3,3,1.0
151,0,3,0.0
152,4,3,1.3333333333333333
153,2,3,0.6666666666666666
154,6,3,2.0
155,2,3,0.6666666666666666
156,2,3,0.6666666666666666
157,5,3,1.6666666666666667
158,2,3,0.6666666666666666
159,3,2,1.5
160,4,3,1.3333333333333333
161,3,2,1.5
162,2,3,0.6666666666666666
163,5,3,1.6666666666666667
164,6,3,2.0
165,2,3,0.6666666666666666
166,2,3,0.6666666666666666
167,3,3,1.0
168,4,3,1.3333333333333333
169,2,3,0.6666666666666666
170,4,2,2.0
171,3,3,1.0
172,2,2,1.0
173,3,3,1.0
174,4,3,1.3333333333333333
175,5,3,1.6666666666666667
176,2,3,0.6666666666666666
177,2,3,0.6666666666666666
178,2,3,0.6666666666666666
179,4,3,1.3333333333333333
180,2,2,1.0
181,3,3,1.0
182,3,3,1.0
183,2,3,0.6666666666666666
184,3,3,1.0
185,3,3,1.0
186,2,3,0.6666666666666666
187,1,2,0.5
188,4,3,1.3333333333333333
189,2,3,0.6666666666666666
190,5,3,1.6666666666666667
191,3,3,1.0
192,2,3,0.6666666666666666
193,2,3,0.6666666666666666
194,3,3,1.0
195,5,3,1.6666666666666667
196,7,3,2.3333333333333335
197,3,3,1.0
198,2,3,0.6666666666666666
199,4,3,1.3333333333333333
200,3,3,1.0
201,3,3,1.0
202,2,3,0.6666666666666666
203,5,3,1.6666666666666667
204,3,3,1.0
205,2,3,0.6666666666666666
206,1,3,0.3333333333333333
207,3,3,1.0
208,3,3,1.0
209,3,3,1.0
210,1,3,0.3333333333333333
211,3,3,1.0
212,4,3,1.3333333333333333
213,3,2,1.5
214,4,3,1.3333333333333333
215,3,3,1.0
216,5,3,1.6666666666666667
217,3,3,1.0
218,2,3,0.6666666666666666
219,2,3,0.6666666666666666
220,2,3,0.6666666666666666
221,2,2,1.0
222,3,3,1.0
223,2,3,0.6666666666666666
224,6,3,2.0
225,2,3,0.6666666666666666
