dialogue_id,n_pred_boundaries,n_gold_boundaries,bor_dialogue
0,3,3,1.0
1,4,3,1.3333333333333333
2,1,3,0.3333333333333333
3,5,3,1.6666666666666667
4,3,3,1.0
5,4,3,1.3333333333333333
6,3,3,1.0
7,3,3,1.0
8,3,3,1.0
9,1,3,0.3333333333333333
10,4,3,1.3333333333333333
11,2,2,1.0
12,2,3,0.6666666666666666
13,3,3,1.0
14,2,3,0.6666666666666666
15,4,3,1.3333333333333333
16,4,3,1.3333333333333333
17,2,3,0.6666666666666666
18,3,3,1.0
19,2,3,0.6666666666666666
20,5,3,1.6666666666666667
21,2,3,0.6666666666666666
22,2,3,0.6666666666666666
23,4,3,1.3333333333333333
24,5,3,1.6666666666666667
25,3,3,1.0
26,4,2,2.0
27,2,3,0.6666666666666666
28,2,3,0.6666666666666666
29,3,3,1.0
30,4,3,1.3333333333333333
31,4,3,1.3333333333333333
32,5,3,1.6666666666666667
33,5,3,1.6666666666666667
34,6,3,2.0
35,6,3,2.0
36,2,3,0.6666666666666666
37,9,3,3.0
38,2,2,1.0
39,4,3,1.3333333333333333
40,3,3,1.0
41,1,3,0.3333333333333333
42,4,3,1.3333333333333333
43,2,3,0.6666666666666666
44,3,3,1.0
45,3,3,1.0
46,4,3,1.3333333333333333
47,3,3,1.0
48,6,3,2.0
49,3,3,1.0
50,2,3,0.6666666666666666
51,8,3,2.6666666666666665
52,4,3,1.3333333333333333
53,2,3,0.6666666666666666
54,2,3,0.6666666666666666
55,2,3,0.6666666666666666
56,4,2,2.0
57,2,3,0.6666666666666666
58,4,3,1.3333333333333333
59,2,3,0.6666666666666666
60,3,3,1.0
61,5,3,1.6666666666666667
62,4,3,1.3333333333333333
63,3,3,1.0
64,2,3,0.6666666666666666
65,4,3,1.3333333333333333
66,2,3,0.6666666666666666
67,5,3,1.6666666666666667
68,5,3,1.6666666666666667
69,5,3,1.6666666666666667
70,2,3,0.6666666666666666
71,4,3,1.3333333333333333
72,2,3,0.6666666666666666
73,3,3,1.0
74,4,3,1.3333333333333333
75,4,3,1.3333333333333333
76,0,3,0.0
77,4,3,1.3333333333333333
78,2,3,0.6666666666666666
79,4,3,1.3333333333333333
80,4,3,1.3333333333333333
81,4,3,1.3333333333333333
82,4,3,1.3333333333333333
83,3,3,1.0
84,2,3,0.6666666666666666
85,4,3,1.3333333333333333
86,2,3,0.6666666666666666
87,3,3,1.0
88,3,3,1.0
89,3,3,1.0
90,1,3,0.3333333333333333
91,4,2,2.0
92,5,3,1.6666666666666667
93,2,3,0.6666666666666666
94,3,3,1.0
95,2,2,1.0
96,3,3,1.0
97,6,3,2.0
98,4,3,1.3333333333333333
99,2,3,0.6666666666666666
100,4,3,1.3333333333333333
101,3,3,1.0
102,3,3,1.0
103,4,3,1.3333333333333333
104,1,3,0.3333333333333333
105,3,3,1.0
106,2,3,0.6666666666666666
107,3,3,1.0
108,4,3,1.3333333333333333
109,3,3,1.0
110,3,3,1.0
111,6,3,2.0
112,3,3,1.0
113,2,3,0.6666666666666666
114,3,3,1.0
115,2,3,0.6666666666666666
116,4,3,1.3333333333333333
117,2,3,0.6666666666666666
118,3,3,1.0
119,0,3,0.0
120,4,3,1.3333333333333333
121,3,3,1.0
122,4,3,1.3333333333333333
123,4,3,1.3333333333333333
124,2,3,0.6666666666666666
125,2,2,1.0
126,2,3,0.6666666666666666
127,3,3,1.0
128,3,2,1.5
129,1,2,0.5
130,2,3,0.6666666666666666
131,2,3,0.6666666666666666
132,2,3,0.6666666666666666
133,3,3,1.0
134,1,3,0.3333333333333333
135,3,3,1.0
136,2,2,1.0
137,3,3,1.0
138,2,3,0.6666666666666666
139,2,3,0.6666666666666666
140,1,3,0.3333333333333333
141,5,3,1.6666666666666667
142,6,3,2.0
143,4,3,1.3333333333333333
144,1,3,0.3333333333333333
145,6,2,3.0
146,4,3,1.3333333333333333
147,4,3,1.3333333333333333
148,4,3,1.3333333333333333
149,2,3,0.6666666666666666
150,3,3,1.0
151,4,3,1.3333333333333333
152,1,3,0.3333333333333333
153,1,3,0.3333333333333333
154,4,3,1.3333333333333333
155,3,3,1.0
156,1,3,0.3333333333333333
157,2,3,0.6666666666666666
158,2,3,0.6666666666666666
159,4,2,2.0
160,1,3,0.3333333333333333
161,2,2,1.0
162,4,3,1.3333333333333333
163,7,3,2.3333333333333335
164,3,3,1.0
165,0,3,0.0
166,2,3,0.6666666666666666
167,2,3,0.6666666666666666
168,6,3,2.0
169,2,3,0.6666666666666666
170,4,2,2.0
171,3,3,1.0
172,3,2,1.5
173,3,3,1.0
174,4,3,1.3333333333333333
175,2,3,0.6666666666666666
176,3,3,1.0
177,2,3,0.6666666666666666
178,4,3,1.3333333333333333
179,3,3,1.0
180,5,2,2.5
181,3,3,1.0
182,2,3,0.6666666666666666
183,5,3,1.6666666666666667
184,3,3,1.0
185,2,3,0.6666666666666666
186,3,3,1.0
187,1,2,0.5
188,3,3,1.0
189,3,3,1.0
190,2,3,0.6666666666666666
191,3,3,1.0
192,4,3,1.3333333333333333
193,2,3,0.6666666666666666
194,2,3,0.6666666666666666
195,6,3,2.0
196,3,3,1.0
197,4,3,1.3333333333333333
198,1,3,0.3333333333333333
199,3,3,1.0
200,5,3,1.6666666666666667
201,1,3,0.3333333333333333
202,3,3,1.0
203,4,3,1.3333333333333333
204,4,3,1.3333333333333333
205,2,3,0.6666666666666666
206,4,3,1.3333333333333333
207,4,3,1.3333333333333333
208,4,3,1.3333333333333333
209,3,3,1.0
210,0,3,0.0
211,4,3,1.3333333333333333
212,6,3,2.0
213,2,2,1.0
214,3,3,1.0
215,2,3,0.6666666666666666
216,5,3,1.6666666666666667
217,6,3,2.0
218,4,3,1.3333333333333333
219,1,3,0.3333333333333333
220,1,3,0.3333333333333333
221,2,2,1.0
222,2,3,0.6666666666666666
223,3,3,1.0
224,1,3,0.3333333333333333
225,2,3,0.6666666666666666
226,2,3,0.6666666666666666
227,3,3,1.0
228,2,3,0.6666666666666666
229,2,3,0.6666666666666666
230,2,2,1.0
231,1,3,0.3333333333333333
232,2,2,1.0
233,4,3,1.3333333333333333
234,3,3,1.0
235,3,3,1.0
236,4,3,1.3333333333333333
237,2,2,1.0
238,5,3,1.6666666666666667
239,4,3,1.3333333333333333
240,4,3,1.3333333333333333
241,3,3,1.0
242,2,3,0.6666666666666666
243,2,3,0.6666666666666666
244,1,2,0.5
245,3,3,1.0
246,1,2,0.5
247,4,3,1.3333333333333333
248,2,3,0.6666666666666666
249,1,3,0.3333333333333333
250,5,3,1.6666666666666667
251,3,3,1.0
252,2,3,0.6666666666666666
253,2,3,0.6666666666666666
254,2,3,0.6666666666666666
255,3,3,1.0
256,4,2,2.0
257,2,2,1.0
258,3,3,1.0
259,3,3,1.0
