dialogue_id,n_pred_boundaries,n_gold_boundaries,bor_dialogue
0,2,3,0.6666666666666666
1,2,1,2.0
2,3,1,3.0
5,2,2,1.0
6,3,1,3.0
8,2,1,2.0
9,2,1,2.0
13,2,2,1.0
14,2,2,1.0
16,3,1,3.0
17,2,3,0.6666666666666666
20,2,2,1.0
22,2,2,1.0
23,2,3,0.6666666666666666
24,2,2,1.0
25,2,4,0.5
26,2,3,0.6666666666666666
27,2,3,0.6666666666666666
28,3,4,0.75
29,3,2,1.5
30,2,3,0.6666666666666666
31,2,2,1.0
32,2,4,0.5
33,2,2,1.0
35,2,1,2.0
36,2,1,2.0
39,2,4,0.5
40,2,1,2.0
42,2,2,1.0
43,2,3,0.6666666666666666
44,2,4,0.5
45,2,1,2.0
46,2,1,2.0
47,3,2,1.5
48,2,2,1.0
51,2,2,1.0
53,2,2,1.0
54,3,2,1.5
55,2,4,0.5
56,2,1,2.0
57,2,1,2.0
59,3,4,0.75
60,2,2,1.0
61,3,3,1.0
62,2,2,1.0
63,2,1,2.0
64,2,1,2.0
65,3,2,1.5
66,3,4,0.75
69,2,2,1.0
70,2,1,2.0
71,2,3,0.6666666666666666
72,3,3,1.0
73,2,1,2.0
74,2,2,1.0
75,2,2,1.0
76,3,1,3.0
77,2,3,0.6666666666666666
78,2,2,1.0
79,2,3,0.6666666666666666
80,2,3,0.6666666666666666
81,2,2,1.0
82,2,3,0.6666666666666666
83,2,1,2.0
84,2,2,1.0
85,3,4,0.75
86,2,3,0.6666666666666666
87,2,2,1.0
88,2,1,2.0
89,3,1,3.0
90,3,3,1.0
91,2,4,0.5
92,2,3,0.6666666666666666
93,2,3,0.6666666666666666
94,2,2,1.0
95,3,3,1.0
96,3,3,1.0
97,2,1,2.0
98,2,2,1.0
99,2,2,1.0
100,2,2,1.0
101,1,2,0.5
102,3,1,3.0
103,2,1,2.0
104,2,1,2.0
105,2,1,2.0
106,3,1,3.0
107,2,1,2.0
108,2,3,0.6666666666666666
109,2,4,0.5
110,2,2,1.0
112,2,1,2.0
113,2,3,0.6666666666666666
114,3,2,1.5
115,2,4,0.5
116,3,3,1.0
117,3,1,3.0
118,2,1,2.0
119,2,1,2.0
120,2,1,2.0
121,3,2,1.5
122,2,1,2.0
123,2,4,0.5
124,2,2,1.0
125,2,2,1.0
126,2,2,1.0
127,2,3,0.6666666666666666
128,2,1,2.0
129,2,1,2.0
130,2,2,1.0
132,2,1,2.0
133,2,3,0.6666666666666666
134,3,3,1.0
135,2,3,0.6666666666666666
136,2,2,1.0
137,2,1,2.0
140,2,1,2.0
143,3,1,3.0
145,2,1,2.0
146,2,1,2.0
147,3,4,0.75
148,2,2,1.0
149,2,2,1.0
150,2,1,2.0
151,2,1,2.0
152,2,2,1.0
153,2,2,1.0
154,2,2,1.0
155,3,4,0.75
156,2,3,0.6666666666666666
157,2,2,1.0
158,2,1,2.0
159,2,1,2.0
160,2,3,0.6666666666666666
161,2,2,1.0
162,2,3,0.6666666666666666
163,2,3,0.6666666666666666
164,2,3,0.6666666666666666
165,2,1,2.0
168,2,3,0.6666666666666666
169,2,1,2.0
170,2,4,0.5
171,2,1,2.0
172,2,1,2.0
173,2,3,0.6666666666666666
176,3,3,1.0
177,2,1,2.0
178,2,4,0.5
179,1,2,0.5
180,2,2,1.0
181,3,3,1.0
182,2,4,0.5
183,2,3,0.6666666666666666
184,3,2,1.5
185,2,1,2.0
186,2,4,0.5
187,2,2,1.0
188,2,3,0.6666666666666666
189,2,4,0.5
190,3,3,1.0
191,2,3,0.6666666666666666
192,2,3,0.6666666666666666
193,2,3,0.6666666666666666
194,2,2,1.0
195,2,4,0.5
196,2,4,0.5
197,2,4,0.5
198,2,4,0.5
199,2,4,0.5
200,2,3,0.6666666666666666
201,2,3,0.6666666666666666
202,2,1,2.0
203,1,3,0.3333333333333333
204,2,2,1.0
205,2,3,0.6666666666666666
206,2,4,0.5
207,1,2,0.5
208,2,3,0.6666666666666666
209,2,3,0.6666666666666666
210,2,4,0.5
211,2,1,2.0
212,2,3,0.6666666666666666
213,2,2,1.0
215,2,3,0.6666666666666666
217,2,2,1.0
218,2,2,1.0
219,2,2,1.0
220,2,3,0.6666666666666666
221,2,4,0.5
222,2,3,0.6666666666666666
223,2,2,1.0
224,3,5,0.6
225,2,3,0.6666666666666666
226,2,2,1.0
227,2,2,1.0
228,2,3,0.6666666666666666
229,2,3,0.6666666666666666
230,1,1,1.0
231,2,2,1.0
232,3,5,0.6
233,2,3,0.6666666666666666
234,3,3,1.0
235,2,3,0.6666666666666666
236,2,4,0.5
237,2,2,1.0
238,3,3,1.0
239,3,5,0.6
240,2,3,0.6666666666666666
241,2,1,2.0
242,2,1,2.0
243,2,3,0.6666666666666666
244,2,2,1.0
245,2,1,2.0
246,3,3,1.0
247,3,3,1.0
248,2,2,1.0
250,2,1,2.0
251,3,1,3.0
252,2,2,1.0
253,2,1,2.0
254,2,5,0.4
255,3,3,1.0
256,2,2,1.0
257,2,1,2.0
258,2,2,1.0
260,3,2,1.5
261,2,3,0.6666666666666666
262,2,5,0.4
264,3,1,3.0
265,2,1,2.0
266,2,1,2.0
267,2,2,1.0
268,1,2,0.5
270,2,2,1.0
271,1,2,0.5
272,3,4,0.75
273,2,1,2.0
274,2,1,2.0
275,3,3,1.0
276,2,3,0.6666666666666666
277,2,1,2.0
278,2,1,2.0
279,3,2,1.5
280,2,1,2.0
281,2,3,0.6666666666666666
282,2,1,2.0
283,3,3,1.0
285,3,3,1.0
287,2,1,2.0
288,2,1,2.0
290,2,1,2.0
