dialogue_id,n_pred_boundaries,n_gold_boundaries,bor_dialogue
0,2,3,0.6666666666666666
1,2,1,2.0
2,2,1,2.0
5,2,2,1.0
6,3,1,3.0
8,1,1,1.0
9,2,1,2.0
13,3,2,1.5
14,0,2,0.0
16,3,1,3.0
17,2,3,0.6666666666666666
20,3,2,1.5
22,2,2,1.0
23,2,3,0.6666666666666666
24,2,2,1.0
25,2,4,0.5
26,3,3,1.0
27,3,3,1.0
28,3,4,0.75
29,2,2,1.0
30,3,3,1.0
31,2,2,1.0
32,2,4,0.5
33,1,2,0.5
35,2,1,2.0
36,2,1,2.0
39,2,4,0.5
40,2,1,2.0
42,2,2,1.0
43,1,3,0.3333333333333333
44,3,4,0.75
45,2,1,2.0
46,2,1,2.0
47,3,2,1.5
48,3,2,1.5
51,2,2,1.0
53,2,2,1.0
54,3,2,1.5
55,3,4,0.75
56,2,1,2.0
57,2,1,2.0
59,2,4,0.5
60,1,2,0.5
61,2,3,0.6666666666666666
62,3,2,1.5
63,2,1,2.0
64,2,1,2.0
65,3,2,1.5
66,3,4,0.75
69,3,2,1.5
70,1,1,1.0
71,2,3,0.6666666666666666
72,2,3,0.6666666666666666
73,2,1,2.0
74,3,2,1.5
75,2,2,1.0
76,2,1,2.0
77,1,3,0.3333333333333333
78,2,2,1.0
79,3,3,1.0
80,2,3,0.6666666666666666
81,2,2,1.0
82,2,3,0.6666666666666666
83,2,1,2.0
84,3,2,1.5
85,3,4,0.75
86,3,3,1.0
87,2,2,1.0
88,2,1,2.0
89,2,1,2.0
90,2,3,0.6666666666666666
91,2,4,0.5
92,2,3,0.6666666666666666
93,3,3,1.0
94,2,2,1.0
95,2,3,0.6666666666666666
96,2,3,0.6666666666666666
97,3,1,3.0
98,2,2,1.0
99,1,2,0.5
100,2,2,1.0
101,2,2,1.0
102,3,1,3.0
103,2,1,2.0
104,2,1,2.0
105,2,1,2.0
106,2,1,2.0
107,2,1,2.0
108,2,3,0.6666666666666666
109,2,4,0.5
110,2,2,1.0
112,2,1,2.0
113,3,3,1.0
114,2,2,1.0
115,3,4,0.75
116,2,3,0.6666666666666666
117,2,1,2.0
118,3,1,3.0
119,2,1,2.0
120,2,1,2.0
121,3,2,1.5
122,2,1,2.0
123,3,4,0.75
124,3,2,1.5
125,2,2,1.0
126,2,2,1.0
127,2,3,0.6666666666666666
128,3,1,3.0
129,2,1,2.0
130,0,2,0.0
132,1,1,1.0
133,3,3,1.0
134,3,3,1.0
135,3,3,1.0
136,2,2,1.0
137,1,1,1.0
140,2,1,2.0
143,2,1,2.0
145,2,1,2.0
146,1,1,1.0
147,3,4,0.75
148,2,2,1.0
149,2,2,1.0
150,3,1,3.0
151,2,1,2.0
152,2,2,1.0
153,2,2,1.0
154,2,2,1.0
155,3,4,0.75
156,2,3,0.6666666666666666
157,2,2,1.0
158,2,1,2.0
159,2,1,2.0
160,2,3,0.6666666666666666
161,2,2,1.0
162,2,3,0.6666666666666666
163,2,3,0.6666666666666666
164,2,3,0.6666666666666666
165,2,1,2.0
168,2,3,0.6666666666666666
169,2,1,2.0
170,3,4,0.75
171,2,1,2.0
172,2,1,2.0
173,2,3,0.6666666666666666
176,1,3,0.3333333333333333
177,2,1,2.0
178,2,4,0.5
179,2,2,1.0
180,2,2,1.0
181,2,3,0.6666666666666666
182,2,4,0.5
183,2,3,0.6666666666666666
184,3,2,1.5
185,1,1,1.0
186,2,4,0.5
187,2,2,1.0
188,2,3,0.6666666666666666
189,2,4,0.5
190,2,3,0.6666666666666666
191,3,3,1.0
192,3,3,1.0
193,2,3,0.6666666666666666
194,1,2,0.5
195,2,4,0.5
196,2,4,0.5
197,2,4,0.5
198,2,4,0.5
199,1,4,0.25
200,2,3,0.6666666666666666
201,2,3,0.6666666666666666
202,2,1,2.0
203,3,3,1.0
204,3,2,1.5
205,3,3,1.0
206,2,4,0.5
207,2,2,1.0
208,2,3,0.6666666666666666
209,2,3,0.6666666666666666
210,3,4,0.75
211,2,1,2.0
212,2,3,0.6666666666666666
213,2,2,1.0
215,3,3,1.0
217,2,2,1.0
218,2,2,1.0
219,2,2,1.0
220,2,3,0.6666666666666666
221,3,4,0.75
222,2,3,0.6666666666666666
223,2,2,1.0
224,3,5,0.6
225,2,3,0.6666666666666666
226,2,2,1.0
227,3,2,1.5
228,2,3,0.6666666666666666
229,2,3,0.6666666666666666
230,3,1,3.0
231,2,2,1.0
232,2,5,0.4
233,1,3,0.3333333333333333
234,3,3,1.0
235,2,3,0.6666666666666666
236,2,4,0.5
237,3,2,1.5
238,3,3,1.0
239,3,5,0.6
240,3,3,1.0
241,2,1,2.0
242,2,1,2.0
243,3,3,1.0
244,2,2,1.0
245,2,1,2.0
246,2,3,0.6666666666666666
247,3,3,1.0
248,2,2,1.0
250,2,1,2.0
251,3,1,3.0
252,2,2,1.0
253,2,1,2.0
254,3,5,0.6
255,2,3,0.6666666666666666
256,3,2,1.5
257,3,1,3.0
258,2,2,1.0
260,3,2,1.5
261,1,3,0.3333333333333333
262,2,5,0.4
264,1,1,1.0
265,2,1,2.0
266,0,1,0.0
267,1,2,0.5
268,1,2,0.5
270,3,2,1.5
271,1,2,0.5
272,3,4,0.75
273,3,1,3.0
274,3,1,3.0
275,3,3,1.0
276,3,3,1.0
277,2,1,2.0
278,2,1,2.0
279,3,2,1.5
280,1,1,1.0
281,2,3,0.6666666666666666
282,2,1,2.0
283,3,3,1.0
285,3,3,1.0
287,2,1,2.0
288,2,1,2.0
290,3,1,3.0
291,3,3,1.0
292,1,2,0.5
294,1,1,1.0
295,3,2,1.5
