dataset,model,g,step,tau,bor,wf1,wf1_1to1,exact_f1,coverage,purity,n_pred_boundaries,n_gold_boundaries,seed
dialseg711,neural,2,0,3.525810097926296e-05,2.068560235063663,0.6661307774527848,0.6329008388080117,0.35436420119964424,0.65236142978759,0.9111420869332263,4224,2042,
dialseg711,neural,2,1,3.8098520738243514e-05,2.0558276199804113,0.66884533590574,0.6358608261561848,0.35596293845238997,0.6541104474912492,0.9104788085800745,4198,2042,
dialseg711,neural,2,2,3.952637290518882e-05,2.0426052889324193,0.6717385893288476,0.6392274236156092,0.35805508759095256,0.6560543896250648,0.9100024506670077,4171,2042,
dialseg711,neural,2,3,4.08126545345163e-05,2.029382957884427,0.6746161072357036,0.6426959038773384,0.3597677131432406,0.658000982842755,0.9093729810326153,4144,2042,
dialseg711,neural,2,4,4.20308901833888e-05,2.016160626836435,0.6774758786889561,0.6459783769910351,0.36173788705434284,0.6596749330135405,0.908879228288511,4117,2042,
dialseg711,neural,2,5,4.287777651302011e-05,2.0004897159647403,0.6809071796203606,0.6496981218500206,0.36370528986562745,0.6615129713230978,0.9081009681572269,4085,2042,
dialseg711,neural,2,6,4.3668859446978194e-05,1.9862879529872675,0.6840102954039118,0.6520348381107874,0.36579480841084216,0.6631019472791624,0.9073675946390434,4056,2042,
dialseg711,neural,2,7,4.47842497091937e-05,1.9730656219392753,0.6869214073567084,0.6554148305203158,0.3677848717933106,0.6650664004303245,0.9068664002559924,4029,2042,
dialseg711,neural,2,8,4.558996675110742e-05,1.9613124387855043,0.6894157319284715,0.6580697783229428,0.3692141426318642,0.6668970436111786,0.9064054414617003,4005,2042,
dialseg711,neural,2,9,4.6422236961582874e-05,1.9461312438785505,0.6924880083244088,0.6617112766901795,0.3711541779052328,0.6687687088267257,0.9059019215664786,3974,2042,
dialseg711,neural,2,10,4.728204193677117e-05,1.9324191968658178,0.6951326585967788,0.6647745675171836,0.372787144095161,0.6705309819497582,0.905308797573214,3946,2042,
dialseg711,neural,2,11,4.82489914206575e-05,1.916258570029383,0.6983788797392346,0.6680871948804438,0.3748559613538517,0.6727182656771264,0.9047968804649537,3913,2042,
dialseg711,neural,2,12,4.940160423889874e-05,1.904505386875612,0.7006249456193484,0.6704669373445744,0.37628563809998405,0.6745025846555383,0.9043442935144764,3889,2042,
dialseg711,neural,2,13,5.067137432554927e-05,1.890303623898139,0.7040838079788129,0.6739677028706563,0.3782352200073719,0.6762957194391793,0.9036783344800222,3860,2042,
dialseg711,neural,2,14,5.239973600980728e-05,1.8790401567091086,0.7066078079992476,0.6764672817415434,0.37975666308999645,0.67759558772217,0.9032567656336995,3837,2042,
dialseg711,neural,2,15,5.581103158961448e-05,1.8643486777668952,0.709788435696864,0.6794759779991847,0.3813560794573453,0.6792756772450865,0.9027105662478377,3807,2042,
dialseg711,neural,2,16,0.00028507549847458206,1.8540646425073457,0.7121374222770223,0.6821234087056871,0.38297331672859103,0.681095297498251,0.9023094619086179,3786,2042,
dialseg711,neural,2,17,0.0006078651681514321,1.842311459353575,0.7147728821357655,0.6854169428009089,0.38516308663987986,0.6842339017444503,0.9020483534020804,3762,2042,
dialseg711,neural,2,18,0.0008580953063532321,1.8369245837414299,0.7160970338396642,0.6866742415265621,0.3856326202317764,0.6857291130497881,0.901754036581744,3751,2042,
dialseg711,neural,2,19,0.0011845675452691964,1.8310479921645446,0.7175553366160424,0.6882168932801844,0.386655101423034,0.6872977175192365,0.9015023231443766,3739,2042,
dialseg711,neural,2,20,0.0015133751080085999,1.8246816846229188,0.7181420760213472,0.6890529614158306,0.3869698827504735,0.6886315044542892,0.901118334574734,3726,2042,
dialseg711,neural,2,21,0.0018327564185943955,1.8173359451518118,0.7182738979334146,0.6893232958633801,0.3867707850830213,0.6900245792650855,0.9005867224924891,3711,2042,
dialseg711,neural,2,22,0.0023121955633706335,1.810969637610186,0.7198265801911169,0.6911179147466067,0.38775957594523,0.6916194155118205,0.9002663599358397,3698,2042,
dialseg711,neural,2,23,0.0028495775282982023,1.8041136141038199,0.7213075980834163,0.6924813583041431,0.388787435411908,0.6934514539999772,0.899983968341915,3684,2042,
dialseg711,neural,2,24,0.003550953298442107,1.7962781586679726,0.7220041034434793,0.6940318237786591,0.3894326255085749,0.6951766119487638,0.8998092758676445,3668,2042,
dialseg711,neural,2,25,0.004519414947597525,1.7908912830558277,0.7223064888812645,0.6945304890452568,0.38927233104448294,0.6962256039787685,0.8993754536862836,3657,2042,
dialseg711,neural,2,26,0.00521047755692099,1.7859941234084231,0.7224417878872511,0.6952309762436344,0.38941709954368187,0.6970630927909408,0.8992876634877338,3647,2042,
dialseg711,neural,2,27,0.006093644017550215,1.7801175318315376,0.7224193457387866,0.6954121125007201,0.3895668794402972,0.6980040880357335,0.8990867392361767,3635,2042,
dialseg711,neural,2,28,0.007327724089050416,1.777179236043095,0.7230511643030947,0.696044719462441,0.3898972882095245,0.6987595327785201,0.8989800447377803,3629,2042,
dialseg711,neural,2,29,0.008393738891498841,1.7722820763956906,0.7236624073938612,0.6968417189936177,0.3900982124610817,0.6998339194014299,0.8985634059772597,3619,2042,
dialseg711,neural,2,30,0.009502055184288547,1.767384916748286,0.7244944544682826,0.6980637037599063,0.39090607001999406,0.7009267240807325,0.8984448048565489,3609,2042,
dialseg711,neural,2,31,0.010976066770752784,1.762977473065622,0.724421032950334,0.6981719796065787,0.39069956453922705,0.7017041893096745,0.897922234365624,3600,2042,
dialseg711,neural,2,32,0.012434697068816005,1.757590597453477,0.7238448868504308,0.6977044755525768,0.39051873271282556,0.7024400743810026,0.8974157378148235,3589,2042,
dialseg711,neural,2,33,0.014313280938108974,1.7541625857002938,0.7243220164192768,0.6981669057618425,0.39090617149688883,0.7031950751623748,0.8973752739030517,3582,2042,
dialseg711,neural,2,34,0.01618606435256689,1.7482859941234083,0.723801894239085,0.6979288409668156,0.39055435110287434,0.7041659299834405,0.896904022814712,3570,2042,
dialseg711,neural,2,35,0.01833173621389736,1.7414299706170422,0.7239008714043318,0.6980332606914884,0.3900646236089274,0.705128692022152,0.8960559550362645,3556,2042,
dialseg711,neural,2,36,0.02028017932895444,1.733594515181195,0.7249402212745264,0.69938554959652,0.39094010380930205,0.7067296676210177,0.8957342225415362,3540,2042,
dialseg711,neural,2,37,0.023438217436623512,1.727228207639569,0.7254065699564439,0.7002640350741616,0.3913998956193049,0.7078992142019568,0.8952211680464142,3527,2042,
dialseg711,neural,2,38,0.025692669038272407,1.7203721841332027,0.725235260864029,0.7006853671410633,0.39164415050490997,0.7092010359151709,0.8953555826498865,3513,2042,
dialseg711,neural,2,39,0.029583345752340503,1.7135161606268365,0.7255466789065078,0.7010744295554422,0.39190707713914463,0.7102242147600797,0.8949667942231234,3499,2042,
dialseg711,neural,2,40,0.03276093714126391,1.7051909892262487,0.7261367922071018,0.7014586210788742,0.3927324902008446,0.711824353174564,0.8949440228079468,3482,2042,
dialseg711,neural,2,41,0.03651428872242046,1.6973555337904016,0.7262154840216241,0.7020980269925418,0.3933475416597779,0.7132980767474437,0.8945876334167474,3466,2042,
dialseg711,neural,2,42,0.04034026938691815,1.692458374142997,0.7264109068431392,0.7022992556747831,0.39351294899818107,0.7146291999140101,0.8944430795802105,3456,2042,
dialseg711,neural,2,43,0.04429220466233373,1.6846229187071498,0.7264188448797175,0.7025952637766985,0.393984512127972,0.7163315001922597,0.8940351382352085,3440,2042,
dialseg711,neural,2,44,0.04896256722622183,1.6797257590597454,0.7266708597631546,0.70317205844632,0.39430122151641145,0.7174248629944832,0.8938877937840667,3430,2042,
dialseg711,neural,2,45,0.0528624082105843,1.6743388834476003,0.7272508276749666,0.7039983848000725,0.39500465935065093,0.7184699481640411,0.8938769103871074,3419,2042,
dialseg711,neural,2,46,0.057706929743289996,1.668462291870715,0.7281833491578459,0.7055585998623973,0.39575857023114414,0.7195808918382758,0.8937856547526027,3407,2042,
dialseg711,neural,2,47,0.06271997359979102,1.6601371204701274,0.7269578610824147,0.705210026729014,0.39503727246343284,0.7208852251046345,0.8933141804150946,3390,2042,
dialseg711,neural,2,48,0.070621086162838,1.6547502448579823,0.7266846315587507,0.7052066779914881,0.39479839585324816,0.7217709661802488,0.8928600078881374,3379,2042,
dialseg711,neural,2,49,0.07650546909277164,1.649853085210578,0.7266029747038316,0.7060304674228725,0.39552395565053794,0.7229020022796394,0.8929496982415408,3369,2042,
dialseg711,neural,2,50,0.08120449235541151,1.643486777668952,0.7256176852356948,0.7057196436943273,0.3954256245395486,0.7241312680131246,0.892828836723,3356,2042,
dialseg711,neural,2,51,0.08865348395690265,1.6376101860920667,0.7259061083103764,0.7065598723826572,0.3960295135400621,0.7251435205285416,0.8928396177974237,3344,2042,
dialseg711,neural,2,52,0.09469104824054182,1.6297747306562194,0.7257226754709365,0.7064147604231993,0.3959625387895431,0.7263959483632478,0.892321121603822,3328,2042,
dialseg711,neural,2,53,0.10100630236480704,1.622918707149853,0.7252489430217889,0.7066745412736974,0.3959145402183377,0.7278760903497191,0.8919123151682926,3314,2042,
dialseg711,neural,2,54,0.10929141485661122,1.6170421155729677,0.7258404067456743,0.7075373993095512,0.39605518719442767,0.7289038737087261,0.8917827190260381,3302,2042,
dialseg711,neural,2,55,0.12033462943743221,1.609696376101861,0.7251105789495769,0.7075106094093436,0.39636438729265727,0.7303429936605041,0.8914783745972213,3287,2042,
dialseg711,neural,2,56,0.1291668948216657,1.602350636630754,0.725660712957792,0.7083162344765719,0.39735774461512857,0.7318089035124901,0.8912483721414806,3272,2042,
dialseg711,neural,2,57,0.13924303868008628,1.5920666013712046,0.7245521164301995,0.7077405560527923,0.3961903544182025,0.7333959260383311,0.8904201549349229,3251,2042,
dialseg711,neural,2,58,0.14975147024171445,1.5852105778648384,0.7247846380105806,0.7081427089865908,0.3965333463223758,0.7348082560899015,0.8898907474382157,3237,2042,
dialseg711,neural,2,59,0.15972419450031464,1.5763956904995102,0.7245367993883249,0.7081569157518524,0.3968390962061848,0.7367452216872048,0.8895066100357942,3219,2042,
dialseg711,neural,2,60,0.17305690297229806,1.5700293829578844,0.7239842039734808,0.7074868638159778,0.3965419718584276,0.7380512293223265,0.8887887244286682,3206,2042,
dialseg711,neural,2,61,0.18148261937663807,1.558765915768854,0.7237800802151252,0.707624466485226,0.3969651305094344,0.7399948923946815,0.8882719119058783,3183,2042,
dialseg711,neural,2,62,0.19370447099208832,1.5504407443682664,0.7223219255084117,0.7064347513714603,0.3968227584261339,0.7414544092022995,0.8874985209742594,3166,2042,
dialseg711,neural,2,63,0.20399058636408982,1.5460333006856024,0.7217653784639023,0.7066423730980692,0.3975896193195771,0.7429233887303508,0.8873386187573953,3157,2042,
dialseg711,neural,2,64,0.21693334140669782,1.5396669931439766,0.721896293397367,0.7070852182666528,0.3978684778262837,0.7441479104190074,0.8868915622976803,3144,2042,
dialseg711,neural,2,65,0.2298887432669875,1.5313418217433887,0.7199448775360145,0.7051040848509202,0.3957925649908773,0.7450604413948295,0.885736740859807,3127,2042,
dialseg711,neural,2,66,0.24859576533787228,1.5244857982370226,0.7193870602067695,0.7044727970888308,0.39544612287228315,0.7461928981707463,0.8851460049561316,3113,2042,
dialseg711,neural,2,67,0.2603681220780665,1.518609206660137,0.7189296881337425,0.704951666555042,0.39578434536240437,0.7472862609729698,0.8851949523363025,3101,2042,
dialseg711,neural,2,68,0.27565867158036744,1.5122428991185113,0.7187690659178891,0.7052583297309035,0.3955140109148548,0.7483718100542995,0.8848010477827636,3088,2042,
dialseg711,neural,2,69,0.2887659692884096,1.5063663075416258,0.7171590335061688,0.7038317675448477,0.3946556178623689,0.749089429284577,0.884225734675805,3076,2042,
dialseg711,neural,2,70,0.29876957946087246,1.4975514201762978,0.7169577196838705,0.7039218790273641,0.39472908713415045,0.7507942157467474,0.8833213762141832,3058,2042,
dialseg711,neural,2,71,0.3120112482027796,1.4906953966699314,0.7169425518727235,0.704079269691084,0.3946498336793695,0.7518881366718919,0.8826837765892417,3044,2042,
dialseg711,neural,2,72,0.32491734818597534,1.4833496571988247,0.7177610487970844,0.7053852773262055,0.39577724197977365,0.753600597324226,0.8825422924287701,3029,2042,
dialseg711,neural,2,73,0.3373433486301096,1.476983349657199,0.7177282397147529,0.7054399733724628,0.39556962025316456,0.7546855882826348,0.8820800869183428,3016,2042,
dialseg711,neural,2,74,0.35282615306389414,1.4676787463271304,0.7180307423379305,0.705429927159885,0.3961188132074208,0.7566944122060155,0.8812537859338141,2997,2042,
dialseg711,neural,2,75,0.3668866626281838,1.4618021547502449,0.7171218295003688,0.7047822001408499,0.39535966455797683,0.7577053123466625,0.8807425918484287,2985,2042,
dialseg711,neural,2,76,0.38124756387729747,1.4529872673849167,0.7168810587536552,0.7054267813761484,0.39519638823436287,0.7591066194705435,0.8804067413807217,2967,2042,
dialseg711,neural,2,77,0.39406315495620436,1.44564152791381,0.7168937662042855,0.7054354069122002,0.3949014963782896,0.7603608738893549,0.8799351740227268,2952,2042,
dialseg711,neural,2,78,0.413031992600791,1.4392752203721841,0.7155294033854676,0.7042678137614845,0.39418263405605175,0.7613663323315222,0.8794522302591922,2939,2042,
dialseg711,neural,2,79,0.4244270690122446,1.429480901077375,0.712311103713823,0.7012486731896014,0.3921166659563284,0.7630130740099095,0.8783234638596805,2919,2042,
dialseg711,neural,2,80,0.4381178514142731,1.4221351616062683,0.7115457910499068,0.7009182644203741,0.392287451570152,0.7648427404756519,0.878134260189464,2904,2042,
dialseg711,neural,2,81,0.4509434807839707,1.4128305582761997,0.7121091907694247,0.7014641086371044,0.39265358020632285,0.7667841710563229,0.8778420828403247,2885,2042,
dialseg711,neural,2,82,0.4646051060314755,1.405484818805093,0.7114351752654265,0.7007519437899185,0.39254083937628237,0.7681769668056588,0.8772247988897075,2870,2042,
dialseg711,neural,2,83,0.47650702934169326,1.396669931439765,0.7112940947348018,0.7015255021584135,0.39294268787939673,0.7701386293422159,0.8765282893904555,2852,2042,
dialseg711,neural,2,84,0.48926939197521135,1.385896180215475,0.7086927024931697,0.6990582944169441,0.3913216959630461,0.7716673280228131,0.8748899660661263,2830,2042,
dialseg711,neural,2,85,0.5025665616270292,1.3785504407443683,0.7073015391165326,0.6984191929339608,0.39067295417506387,0.7725921377028973,0.8746231790816884,2815,2042,
dialseg711,neural,2,86,0.5155569964916866,1.3687561214495592,0.7053287268061675,0.6975686136023689,0.39089397085177674,0.7746705874606719,0.874196192214828,2795,2042,
dialseg711,neural,2,87,0.5282097365987961,1.3599412340842312,0.70513918483638,0.6976534482863597,0.3905490508866037,0.7763018412280015,0.8735319143142631,2777,2042,
dialseg711,neural,2,88,0.5421514559031732,1.3525954946131244,0.7035997266203272,0.6958094101554018,0.38921625335127447,0.7773198574358912,0.8725153492259681,2762,2042,
dialseg711,neural,2,89,0.5543294905418128,1.3452497551420177,0.7020104275404664,0.6944821938492824,0.38919392843443473,0.7790545034743347,0.8715724005509519,2747,2042,
dialseg711,neural,2,90,0.5668853075061023,1.3369245837414299,0.700951896603815,0.6935456635878576,0.3889215644489906,0.7801957253170334,0.8708106464822359,2730,2042,
dialseg711,neural,2,91,0.5769370374967109,1.330558276199804,0.6993612462789873,0.6913217974399409,0.3881334948845498,0.7812963437172298,0.8699197241655049,2717,2042,
dialseg711,neural,2,92,0.5877110350072084,1.3212536728697355,0.6973202892491993,0.6892824162866357,0.38652163588872446,0.7830148041909646,0.8688837084934131,2698,2042,
dialseg711,neural,2,93,0.6033077497578146,1.3134182174338884,0.6966280355511064,0.6886349936982847,0.38551254964757076,0.7840543081313124,0.868265978044459,2682,2042,
dialseg711,neural,2,94,0.6163245948714826,1.3046033300685602,0.6955441379997501,0.6882629794022198,0.3852009141038677,0.7857990003823336,0.8674548580033813,2664,2042,
dialseg711,neural,2,95,0.6287946087032108,1.2948090107737513,0.6924550798474007,0.6860985787146124,0.3836437511542997,0.7873519774099943,0.8658243145743146,2644,2042,
dialseg711,neural,2,96,0.6378262261649472,1.287952987267385,0.6910883353061713,0.6845190908482047,0.38307893075825566,0.7885717550538226,0.8650882646030326,2630,2042,
dialseg711,neural,2,97,0.6470652258575862,1.2810969637610186,0.6901190757615828,0.6838828307182737,0.38340040956074717,0.7896334443802798,0.864245805959941,2616,2042,
dialseg711,neural,2,98,0.6563419834453258,1.2713026444662097,0.6898431384070965,0.6840938011824088,0.383693982217189,0.7915765746989374,0.8634252536414985,2596,2042,
dialseg711,neural,2,99,0.6662921620972792,1.2619980411361411,0.687275367062954,0.6823100403269179,0.38194370873695765,0.792966300772208,0.8627221303856325,2577,2042,
dialseg711,neural,2,100,0.6760952005434276,1.2536728697355535,0.6862941869678497,0.6812652342188207,0.3807604881444544,0.7943166791795483,0.8616145354489236,2560,2042,
dialseg711,neural,2,101,0.6842687711044778,1.244368266405485,0.6843148741669931,0.6798018359199793,0.3783538621091364,0.7958432848991922,0.8606814376434629,2541,2042,
dialseg711,neural,2,102,0.6942635034795983,1.2340842311459355,0.6818736016878432,0.6777579897833061,0.37770755576662746,0.7974388822226375,0.8593022947646717,2520,2042,
dialseg711,neural,2,103,0.7027789462151839,1.2257590597453476,0.6794891139524128,0.6757922808555719,0.3765087077323364,0.7988771649900342,0.8577845896745334,2503,2042,
dialseg711,neural,2,104,0.7117623390264847,1.2189030362389814,0.6793570865431455,0.6758759992937207,0.37668172583784393,0.8004909774160828,0.8571732801760932,2489,2042,
dialseg711,neural,2,105,0.7190902922021684,1.2091087169441723,0.6774690551937093,0.6744728782703466,0.37651875394491424,0.8022783660705602,0.8560742245200753,2469,2042,
dialseg711,neural,2,106,0.7276855548422545,1.1993143976493634,0.6763298762018569,0.6733990497703577,0.3757418468388933,0.803900854771108,0.8555978818285429,2449,2042,
dialseg711,neural,2,107,0.7377286463526626,1.1900097943192949,0.6747555479485826,0.67210643708534,0.3740183632588696,0.805078912726592,0.8543498259567177,2430,2042,
dialseg711,neural,2,108,0.7455699572611095,1.1831537708129285,0.6725300320942442,0.6702266790874385,0.37301597449276774,0.805834890223076,0.8538690159400426,2416,2042,
dialseg711,neural,2,109,0.7515336305052793,1.172869735553379,0.6706080970943611,0.6681716704923456,0.3721095828690765,0.8074291683468899,0.8526014629741775,2395,2042,
dialseg711,neural,2,110,0.7586088881420731,1.1616062683643487,0.6681117877901721,0.666299726215338,0.37149341516430123,0.8097726620933372,0.8515973719331668,2372,2042,
dialseg711,neural,2,111,0.7665811468608416,1.15230166503428,0.6664092778820215,0.6649680449258508,0.3694651964694159,0.8114147992576264,0.850206102435357,2353,2042,
dialseg711,neural,2,112,0.7740191167323434,1.1464250734573946,0.6649566361340211,0.6637959867917673,0.3681658863093462,0.8122000782074622,0.8495025326811544,2341,2042,
dialseg711,neural,2,113,0.7811954099329274,1.138099902056807,0.6607122478267204,0.6595397413962815,0.3667449053525003,0.8133965542193391,0.8472746987866538,2324,2042,
dialseg711,neural,2,114,0.7873982981820802,1.1273261508325172,0.6590186939614119,0.657302784728945,0.36470775669087896,0.8147854431082279,0.845517770763903,2302,2042,
dialseg711,neural,2,115,0.7922778533930754,1.117531831537708,0.6592323185333074,0.6580272282803928,0.3646597581196737,0.8167052717949344,0.8448545002166661,2282,2042,
dialseg711,neural,2,116,0.7982789796201428,1.1072477962781586,0.6576422868091167,0.6565593649981836,0.3645994808442066,0.8188054883466277,0.8437197906536865,2261,2042,
dialseg711,neural,2,117,0.8035465368074388,1.0984329089128306,0.6550054514842695,0.6542699447762739,0.36299543556927527,0.8199984760902483,0.8429790499129458,2243,2042,
dialseg711,neural,2,118,0.808949231202878,1.0896180215475024,0.6533109902961374,0.6524817189374151,0.3616871954424697,0.8215744756883997,0.8415376602612888,2225,2042,
dialseg711,neural,2,119,0.8143671861845045,1.0808031341821744,0.6529327164779347,0.6518019252196467,0.3607249915266793,0.8232044736791573,0.8403167908952016,2207,2042,
dialseg711,neural,2,120,0.8200071145541704,1.070519098922625,0.6530794624353167,0.6516746731936605,0.36052853225849,0.825330782477407,0.8396286625418129,2186,2042,
dialseg711,neural,2,121,0.8245079634177624,1.0612144955925564,0.651057223989648,0.6505235192998906,0.3597347799879445,0.8271982617710465,0.8386135578751613,2167,2042,
dialseg711,neural,2,122,0.8300225219534869,1.0489715964740451,0.6473317027535783,0.6468432567588686,0.35783158082736144,0.8289079444933877,0.8364854909897104,2142,2042,
dialseg711,neural,2,123,0.8352407795100955,1.0386875612144957,0.6449920514687794,0.6441910566383139,0.35563257651865243,0.8307187743105464,0.8354976599297977,2121,2042,
dialseg711,neural,2,124,0.8406560328138535,1.0298726738491675,0.6438977089275583,0.6431060656799052,0.35524077422811606,0.8326036949454672,0.8342235983920231,2103,2042,
dialseg711,neural,2,125,0.846022583431934,1.0200783545543586,0.643058565068075,0.6425501752505972,0.35548411582166856,0.8346257742882216,0.8334354079009494,2083,2042,
dialseg711,neural,2,126,0.8508240796213773,1.0107737512242898,0.6397337283354448,0.639733886991271,0.35388341928426315,0.8362097271379972,0.8321621899874361,2064,2042,
dialseg711,neural,2,127,0.8559529155343022,1.0014691478942213,0.6373523065845831,0.6375002790614605,0.3517458084968633,0.8375933138591367,0.8310830120939123,2045,2042,
dialseg711,neural,2,128,0.8598857722689757,0.9897159647404505,0.6346634673358034,0.6342520036612863,0.350639608867457,0.8395242796350392,0.8303277542377401,2021,2042,
dialseg711,neural,2,129,0.863156248576677,0.9789422135161606,0.6334842901105915,0.6333679369544347,0.3493514611658072,0.8416803084788318,0.8288872153657667,1999,2042,
dialseg711,neural,2,130,0.866672071380232,0.9642507345739472,0.6280461753675689,0.6276951755854709,0.3456979885249927,0.8442303721048448,0.8262052689848048,1969,2042,
dialseg711,neural,2,131,0.8695324518572746,0.9549461312438785,0.6262987909942228,0.6266604156899516,0.34417431295068424,0.845805115926424,0.8249970284182662,1950,2042,
dialseg711,neural,2,132,0.8725269412874577,0.944662095984329,0.6233724263802252,0.6242459759337396,0.34341080079476705,0.8474761359518743,0.8232949359725028,1929,2042,
dialseg711,neural,2,133,0.8764773259809869,0.9333986287952988,0.6193396651522607,0.620753242694171,0.3412609113031054,0.8493440465223165,0.8212148456715965,1906,2042,
dialseg711,neural,2,134,0.8797937796343511,0.9221351616062684,0.6177512196721613,0.6199194070502088,0.3413256535619405,0.851647419817251,0.8206021743930241,1883,2042,
dialseg711,neural,2,135,0.8821163120581277,0.9094025465230167,0.6120259947486241,0.613459692362646,0.3363449646150068,0.8531348174016952,0.8173469674704473,1857,2042,
dialseg711,neural,2,136,0.885289660650282,0.8981390793339863,0.6073600871291299,0.6085069095617619,0.3341437278146139,0.8552414523669798,0.8147667093944085,1834,2042,
dialseg711,neural,2,137,0.8886706868008752,0.8854064642507345,0.6033516483105646,0.6037416560623311,0.33058736856205206,0.8574276198485059,0.8124997789892925,1808,2042,
dialseg711,neural,2,138,0.8911828722187023,0.8741429970617042,0.5982499451820559,0.5985678565847342,0.32613354765253494,0.8587620917525982,0.8094576944915117,1785,2042,
