dataset,model,g,step,tau,bor,wf1,coverage,purity,n_pred_boundaries,n_gold_boundaries,seed
dialseg711,random,2,0,7.2449638492178e-05,1.9951028403525954,0.6773531108823578,0.6512926497631139,0.893569375355592,4074,2042,0
dialseg711,random,2,1,0.0038616766731889947,1.9941234084231145,0.67721358015211,0.6514098555765222,0.8934253796419759,4072,2042,0
dialseg711,random,2,2,0.008173364540824839,1.9911851126346718,0.6768871767356097,0.6517614730167473,0.8930196242784146,4066,2042,0
dialseg711,random,2,3,0.013736124015390821,1.9862879529872675,0.6768456172225867,0.6527578746460603,0.8930214846881515,4056,2042,0
dialseg711,random,2,4,0.0173355430890903,1.9818805093046032,0.6758421110495799,0.6532593480905716,0.8924711754880532,4047,2042,0
dialseg711,random,2,5,0.023890131623168016,1.980411361410382,0.6758108214805909,0.6534791089907124,0.892517778751956,4044,2042,0
dialseg711,random,2,6,0.02781149769073101,1.9789422135161607,0.6757366792567707,0.6538600278842895,0.8924675476890667,4041,2042,0
dialseg711,random,2,7,0.03170775048061239,1.9730656219392753,0.6753718220663985,0.6547697682455067,0.8918943554492078,4029,2042,0
dialseg711,random,2,8,0.03786614626605273,1.9662095984329089,0.6760180520897757,0.6559192224012899,0.8917777914771585,4015,2042,0
dialseg711,random,2,9,0.04276180330359321,1.9618021547502449,0.6755582976659974,0.6565931558283878,0.8914348756806563,4006,2042,0
dialseg711,random,2,10,0.047450432261172834,1.957394711067581,0.6753969494033834,0.6572327646958448,0.8912127427581015,3997,2042,0
dialseg711,random,2,11,0.052902551691741406,1.9544564152791382,0.6747814226053115,0.6576307317077359,0.8908046618823693,3991,2042,0
dialseg711,random,2,12,0.05797223806167051,1.9510284035259549,0.6745804901117841,0.6579111884755344,0.8907997317965672,3984,2042,0
dialseg711,random,2,13,0.06133697102975535,1.9495592556317336,0.6748144883644945,0.6581121127270916,0.8907450103810864,3981,2042,0
dialseg711,random,2,14,0.06607615325532226,1.9466209598432909,0.6739773429159136,0.6584461492953054,0.8905107382849998,3975,2042,0
dialseg711,random,2,15,0.0705955251593508,1.9417238001958863,0.6734286027047262,0.6592314282451414,0.8905066918938227,3965,2042,0
dialseg711,random,2,16,0.0764995864777989,1.9363369245837414,0.6722596583090439,0.6601021000018891,0.8900654957247784,3954,2042,0
dialseg711,random,2,17,0.08121057416463998,1.9343780607247796,0.672149524993994,0.6604478571514436,0.8899121979624793,3950,2042,0
dialseg711,random,2,18,0.08804219178273384,1.930460333006856,0.672101690443671,0.6610749082531783,0.8894232822836902,3942,2042,0
dialseg711,random,2,19,0.09344900310247047,1.9265426052889325,0.6717309024979331,0.6616726579015608,0.8891541182029932,3934,2042,0
dialseg711,random,2,20,0.0978027705606653,1.9231145935357492,0.6705448020050901,0.6621121797018421,0.8888053843978598,3927,2042,0
dialseg711,random,2,21,0.10278097610642584,1.9182174338883449,0.6704230763735737,0.6630446762567016,0.8886179481168933,3917,2042,0
dialseg711,random,2,22,0.10719463512319025,1.9113614103819785,0.670081845144432,0.664397287155726,0.8883619726499472,3903,2042,0
dialseg711,random,2,23,0.11191212082199532,1.9074436826640548,0.6691759406098354,0.6647410908750571,0.888201689049087,3895,2042,0
dialseg711,random,2,24,0.11588257020079092,1.9049951028403527,0.6691524674018186,0.665141544070869,0.8882274557239396,3890,2042,0
dialseg711,random,2,25,0.12012282007064849,1.90205680705191,0.6688084595676351,0.665740130903633,0.8880780648220874,3884,2042,0
dialseg711,random,2,26,0.1252453011087532,1.9005876591576885,0.6684255872438345,0.6660624468905059,0.8879692308524939,3881,2042,0
dialseg711,random,2,27,0.1301585141974071,1.8961802154750245,0.6684928127019758,0.6667793557825203,0.8876644957376322,3872,2042,0
dialseg711,random,2,28,0.1348023948659358,1.889324191968658,0.6678177178056371,0.667653934399715,0.8869172621669106,3858,2042,0
dialseg711,random,2,29,0.14131583086584806,1.886875612144956,0.6675790909847319,0.6680875959093259,0.8868488921090891,3853,2042,0
dialseg711,random,2,30,0.1453633092471589,1.884916748285994,0.667561636958839,0.6683659597161707,0.8866741066143317,3849,2042,0
dialseg711,random,2,31,0.14953923142397701,1.8800195886385895,0.6673577846674895,0.6690105916899166,0.8863206008582238,3839,2042,0
dialseg711,random,2,32,0.15381029093262785,1.8751224289911852,0.6661462823266747,0.669801730930423,0.886249244842775,3829,2042,0
dialseg711,random,2,33,0.15984538760273695,1.8702252693437806,0.665009484428894,0.6710362988316575,0.8859367518193115,3819,2042,0
dialseg711,random,2,34,0.1639272720116939,1.8643486777668952,0.6637304936444697,0.6716764658220354,0.8852517489542806,3807,2042,0
dialseg711,random,2,35,0.16898199782252915,1.8599412340842312,0.6631728472236789,0.671954131975229,0.8846818124314608,3798,2042,0
dialseg711,random,2,36,0.17419081847854279,1.8550440744368266,0.6618084707215511,0.6723272371479123,0.8842152402736089,3788,2042,0
dialseg711,random,2,37,0.1795312462372862,1.8516160626836435,0.661909814094047,0.6729894499936694,0.8839120679029259,3781,2042,0
dialseg711,random,2,38,0.18532693182752966,1.84769833496572,0.6617062327090311,0.6736080150900827,0.8838413723329336,3773,2042,0
dialseg711,random,2,39,0.1905368828739417,1.8452497551420177,0.6615409034297777,0.6741354412504201,0.8839312301232133,3768,2042,0
dialseg711,random,2,40,0.19595373186487383,1.8383937316356513,0.6607815123146816,0.6749514169609105,0.8836098257371113,3754,2042,0
dialseg711,random,2,41,0.1997628719390774,1.8330068560235064,0.6590242048833792,0.675627303818232,0.8832107678486019,3743,2042,0
dialseg711,random,2,42,0.2049271190114158,1.8290891283055828,0.6591910020140361,0.6762284022041406,0.8830436565440083,3735,2042,0
dialseg711,random,2,43,0.20987782030518276,1.8232125367286973,0.6589753541634782,0.6773446480461248,0.8828636619019883,3723,2042,0
dialseg711,random,2,44,0.21641877674521107,1.8183153770812928,0.6578947804346047,0.678379826533835,0.8824861382561804,3713,2042,0
dialseg711,random,2,45,0.22140487661955358,1.8124387855044075,0.6579218736044335,0.6792211968372306,0.8819789905619723,3701,2042,0
dialseg711,random,2,46,0.22700312512572354,1.8095004897159648,0.6569874049262384,0.679789645032261,0.8817604854384038,3695,2042,0
dialseg711,random,2,47,0.23092845233201975,1.802154750244858,0.6567883713494568,0.6808618118480988,0.8815300271822776,3680,2042,0
dialseg711,random,2,48,0.23556059654788672,1.796767874632713,0.6563249328731958,0.6818770374413835,0.8812324081346584,3669,2042,0
dialseg711,random,2,49,0.24078434285877612,1.7908912830558277,0.6562459209194917,0.682844962117114,0.8809159710425533,3657,2042,0
dialseg711,random,2,50,0.24658001499074622,1.7855044074436828,0.6562128925465331,0.6839935790885158,0.8807944693739349,3646,2042,0
dialseg711,random,2,51,0.25171482296197456,1.777179236043095,0.6541396804610418,0.6857237601435913,0.880557211320221,3629,2042,0
dialseg711,random,2,52,0.2579770062962116,1.7722820763956906,0.6533802126874265,0.6861843637687519,0.8802606620082007,3619,2042,0
dialseg711,random,2,53,0.2626541371868655,1.767384916748286,0.6532456543250199,0.6874450366011547,0.8799003936627005,3609,2042,0
dialseg711,random,2,54,0.26714845579541274,1.7644466209598433,0.6529188830155052,0.6878611172387543,0.8796991903496826,3603,2042,0
dialseg711,random,2,55,0.272385908592314,1.7585700293829578,0.6519218413978315,0.6885760727005452,0.8792658637138243,3591,2042,0
dialseg711,random,2,56,0.27710855876321144,1.752203721841332,0.6504968550882585,0.6894378144905571,0.8788061936760952,3578,2042,0
dialseg711,random,2,57,0.2813548638942565,1.743388834476004,0.6484545502935403,0.691104090471179,0.8785525268085043,3560,2042,0
dialseg711,random,2,58,0.2864015020099334,1.7380019588638589,0.647796659876535,0.6923171706399555,0.8786779556329487,3549,2042,0
