dataset,model,g,step,tau,bor,wf1,wf1_1to1,coverage,purity,n_pred_boundaries,n_gold_boundaries,seed
dialseg711,texttiling,2,0,0.0,2.014201762977473,0.6565497999111453,0.6390034250793744,0.6892893918474087,0.9324616214384147,4113,2042,
dialseg711,texttiling,2,1,2.935169330194981e-05,1.8134182174338884,0.6647365921104599,0.6589499498782199,0.7256942151456919,0.9280018937279837,3703,2042,
dialseg711,texttiling,2,2,0.002441988106648527,1.8050930460333008,0.6640689061884991,0.6588469508300732,0.727004966825642,0.9276467880195025,3686,2042,
dialseg711,texttiling,2,3,0.004901258565073636,1.7972575905974535,0.6643263530704185,0.6593213553129164,0.7283366481151291,0.9271100133002383,3670,2042,
dialseg711,texttiling,2,4,0.007494002730403134,1.787952987267385,0.6628797930485296,0.6585937659777321,0.7298134413640743,0.9265262167248806,3651,2042,
dialseg711,texttiling,2,5,0.009175560881744092,1.7781586679725758,0.6624421926331366,0.6583780260995451,0.731884077400955,0.9262234350402424,3631,2042,
dialseg711,texttiling,2,6,0.011044772426087666,1.770812928501469,0.6620807488036836,0.65859457779289,0.7329182791735533,0.9257704624775652,3616,2042,
dialseg711,texttiling,2,7,0.013523615335100268,1.7624877571008815,0.661392612302821,0.6578787597774939,0.7341952644167834,0.9254598856761304,3599,2042,
dialseg711,texttiling,2,8,0.015899514133606765,1.753183153770813,0.6613810596453199,0.657467169492486,0.7360031640886072,0.9251474298608616,3580,2042,
dialseg711,texttiling,2,9,0.018118254428532935,1.7458374142997062,0.6620498618131228,0.6579792219032725,0.7373528448422964,0.9250273776205562,3565,2042,
dialseg711,texttiling,2,10,0.020499287088911747,1.7404505386875613,0.6627233482549205,0.65869077788909,0.7384143946380233,0.9248865911137361,3554,2042,
dialseg711,texttiling,2,11,0.022520742112368194,1.7306562193927522,0.6621725307520057,0.65809855873147,0.7400258350416579,0.9245749631807999,3534,2042,
dialseg711,texttiling,2,12,0.02469305297238145,1.7213516160626836,0.6610487592829741,0.6573065315681349,0.7418693150496949,0.9241116653440844,3515,2042,
