dataset,model,g,step,tau,bor,wf1,wf1_1to1,coverage,purity,n_pred_boundaries,n_gold_boundaries,seed
superseg,neural,2,0,3.592294888221659e-05,1.257612042422169,0.6015566970381423,0.6460023838995095,0.7622345292125928,0.8684589847033114,3676,2923,
superseg,neural,2,1,3.911364547093399e-05,1.2500855285665413,0.6037539450750271,0.6481383971550386,0.7638839660927406,0.8678496385947218,3654,2923,
superseg,neural,2,2,4.047228002715413e-05,1.2418747861785837,0.6050614877592718,0.6484085506021966,0.7660271834401939,0.867624810892587,3630,2923,
superseg,neural,2,3,4.127403708343312e-05,1.2346903865891208,0.6062105404211838,0.6484733874295144,0.7677180438489062,0.86720247100353,3609,2923,
superseg,neural,2,4,4.198927490506321e-05,1.2278481012658229,0.6070426130384303,0.6487849644052366,0.7696490406550921,0.8668263573709868,3589,2923,
superseg,neural,2,5,4.271487705409527e-05,1.223742730071844,0.6080691961376308,0.6496098329305591,0.7705840717527556,0.8665847201210287,3577,2923,
superseg,neural,2,6,4.325464347610836e-05,1.217242559014711,0.6089820675897921,0.6500060579863908,0.7721560646447182,0.8661749873928393,3558,2923,
superseg,neural,2,7,4.355111364866069e-05,1.2107423879575778,0.610570569859081,0.6510020236949132,0.7735218404053502,0.8657274331820475,3539,2923,
superseg,neural,2,8,4.415950024849735e-05,1.20390010263428,0.6119525548265425,0.6524392400337938,0.7749327918257569,0.8652021348125736,3519,2923,
superseg,neural,2,9,4.4605803850572556e-05,1.1973999315771469,0.6140957721739959,0.6545320287377776,0.7766305561558965,0.8648659438561102,3500,2923,
superseg,neural,2,10,4.491654245022582e-05,1.1905576462538487,0.6156591660640783,0.6555982343425611,0.7780751266719496,0.8645234493192134,3480,2923,
superseg,neural,2,11,4.549770232526371e-05,1.1826890181320562,0.6175754545159191,0.6573776450478417,0.7799451888672766,0.8639035972432342,3457,2923,
superseg,neural,2,12,4.590022945194505e-05,1.1768730756072527,0.6184615578225973,0.6575541452999849,0.7812431260956222,0.8633278702302908,3440,2923,
superseg,neural,2,13,4.635347431758419e-05,1.1703729045501197,0.6202013460222947,0.6591528533661665,0.7828463367192565,0.8630105900151285,3421,2923,
superseg,neural,2,14,4.697853891133921e-05,1.162504276428327,0.6221612121674416,0.6610151111285756,0.784545151646135,0.8624474701630527,3398,2923,
superseg,neural,2,15,4.75023650264733e-05,1.1546356483065343,0.6237857348963516,0.6617103059992621,0.7864866544197103,0.8619473861153135,3375,2923,
superseg,neural,2,16,4.822688424610533e-05,1.149161820047896,0.6247258688924614,0.6620164799060412,0.787818811084696,0.8616910405110103,3359,2923,
superseg,neural,2,17,4.875497324974276e-05,1.1436879917892575,0.6261586356451534,0.6633240225902859,0.7892024469898903,0.8614262901327954,3343,2923,
superseg,neural,2,18,4.932386309976677e-05,1.1371878207321244,0.6272578600045896,0.6649935708937222,0.7907307650745623,0.8609472180198354,3324,2923,
superseg,neural,2,19,4.967602910081995e-05,1.1303455354088265,0.6292666009694575,0.6671151759654028,0.7923201678553419,0.8604954614220878,3304,2923,
superseg,neural,2,20,4.9996138841379434e-05,1.1231611358193636,0.6315286858336605,0.6693754598066248,0.7942175455658813,0.8601067406286771,3283,2923,
superseg,neural,2,21,5.0863098294939846e-05,1.114950393431406,0.6330847696892905,0.6713998096373286,0.7964661227577263,0.8597936628004708,3259,2923,
superseg,neural,2,22,5.137796004638591e-05,1.1067396510434484,0.6343581988794235,0.6722102699788025,0.7984942247196407,0.8593818288788032,3235,2923,
superseg,neural,2,23,5.202185631751309e-05,1.0998973657201505,0.6354340099401058,0.6718104428770086,0.8002361141128161,0.8590792570179864,3215,2923,
superseg,neural,2,24,5.24165625392925e-05,1.0930550803968526,0.6371143643814285,0.6730675569177839,0.8016208906658981,0.8586359051941503,3195,2923,
superseg,neural,2,25,5.321099888533354e-05,1.0858706808073897,0.6385864004979428,0.6745732121299443,0.8032491655260188,0.858259791561607,3174,2923,
superseg,neural,2,26,5.41401620727295e-05,1.0786862812179268,0.6401136679858759,0.6759131732278479,0.8048691856974761,0.8579467137334006,3153,2923,
superseg,neural,2,27,5.501079403847367e-05,1.0721861101607937,0.6415508843247563,0.6773629967275958,0.8062433662320198,0.857614725163893,3134,2923,
superseg,neural,2,28,5.583208621828817e-05,1.0632911392405062,0.6431177743182727,0.6785732841708636,0.8083340537425256,0.8571839805009246,3108,2923,
superseg,neural,2,29,5.664249681958335e-05,1.0554225111187137,0.6447783175068038,0.6800231076706115,0.8104613620536464,0.856952849218356,3085,2923,
superseg,neural,2,30,5.787043055214091e-05,1.0523434827232296,0.6453042162172713,0.6801906028078494,0.8114405182143457,0.8568477895444612,3076,2923,
superseg,neural,2,31,5.913558561587706e-05,1.0444748546014369,0.6466844001617518,0.6810352825859634,0.8135116946425569,0.8565809379727685,3053,2923,
superseg,neural,2,32,6.104190833866596e-05,1.0366062264796443,0.6478874835130953,0.6822023454776858,0.8155729654443724,0.8562237350815263,3030,2923,
superseg,neural,2,33,6.211237917857816e-05,1.0301060554225112,0.6497587463904096,0.6836017403339641,0.8170410993444276,0.8559421751554882,3011,2923,
superseg,neural,2,34,6.516560013131056e-05,1.0218953130345536,0.6518485333894251,0.6853469316026048,0.8191627044161083,0.855589174651202,2987,2923,
superseg,neural,2,35,6.916614352601432e-05,1.0153951419774205,0.6532137088090635,0.6865248006322137,0.8209934442763489,0.855284501596907,2968,2923,
superseg,neural,2,36,8.021603439625798e-05,1.0085528566541224,0.6544203942063692,0.6872632200544455,0.8228001704968422,0.8551269120860648,2948,2923,
