dataset,model,g,step,tau,bor,wf1,coverage,purity,n_pred_boundaries,n_gold_boundaries,seed
superseg,texttiling,2,0,0.0,1.234348272322956,0.6076915174450104,0.761475097855582,0.8599092284417549,3608,2923,
superseg,texttiling,2,1,0.0013864739755889278,1.0526855969893945,0.5797386038264386,0.7977709939245491,0.8400518994789038,3077,2923,
superseg,texttiling,2,2,0.0032258686707846876,1.047895997263086,0.578906531209192,0.7985484355113704,0.839610648848546,3063,2923,
superseg,texttiling,2,3,0.005152784325369649,1.0424221690044475,0.5770568806076504,0.7993066661863939,0.838585266431333,3047,2923,
superseg,texttiling,2,4,0.007508696323663158,1.0359219979473144,0.5746381067440959,0.800044185097135,0.8375724911749873,3028,2923,
superseg,texttiling,2,5,0.009618550539016724,1.0287375983578515,0.5738618658392619,0.8017314434598853,0.8364504538577914,3007,2923,
superseg,texttiling,2,6,0.01198342172943769,1.0212110845022238,0.5721520946892488,0.8035696875825469,0.8359472180198353,2985,2923,
superseg,texttiling,2,7,0.014648528254810948,1.0143687991789259,0.56941814180401,0.8042378671085177,0.8348714069591529,2965,2923,
superseg,texttiling,2,8,0.016930023030420058,1.0082107423879576,0.5678566548794368,0.8051308743366232,0.8337367624810891,2947,2923,
superseg,texttiling,2,9,0.019563519325687662,1.0003421142661648,0.5658106927729604,0.8062066853973057,0.8326462430660614,2924,2923,
superseg,texttiling,2,10,0.021259575782708786,0.9962367430721861,0.5656053761531202,0.806906382825445,0.8321104387291983,2912,2923,
superseg,texttiling,2,11,0.023672595620155334,0.989736572015053,0.5655369372798402,0.8084840789568476,0.8317616406118676,2893,2923,
superseg,texttiling,2,12,0.026181091540422873,0.9839206294902497,0.5632892605994857,0.8095199673414499,0.8302929063708188,2876,2923,
superseg,texttiling,2,13,0.02850191295146942,0.9794731440301061,0.562756157797094,0.8103850587133493,0.8293263573709866,2863,2923,
superseg,texttiling,2,14,0.030665530724890793,0.9743414300376325,0.5623347184195275,0.8113242921979684,0.8287905530341233,2848,2923,
superseg,texttiling,2,15,0.03365788672437623,0.9719466301744782,0.5624059117985433,0.8117518850707202,0.8286266599428475,2841,2923,
superseg,texttiling,2,16,0.03611714516452812,0.9640780020526856,0.5590848254214811,0.812602868429268,0.8272146579257018,2818,2923,
superseg,texttiling,2,17,0.03898266047688583,0.9575778309955525,0.5579177625297587,0.8132099632591311,0.8265065557236511,2799,2923,
